index,original_name,specific_energy,specific_price,energy_type,molecular_formula,material_name,index_use
FLi,LiF,0.2891666666666667,0.0325,latent_thermal,FLi,,molecular_formula
FNa,NaF,0.22055555555555556,1.61,latent_thermal,FNa,,molecular_formula
KF,KF,0.14083333333333334,5.3,latent_thermal,KF,,molecular_formula
F2Mg,MgF2,0.26055555555555554,0.87,latent_thermal,F2Mg,,molecular_formula
CaF2,CaF2,0.10583333333333333,0.12,latent_thermal,CaF2,,molecular_formula
ClLi,LiCl,0.11555555555555555,8.0,latent_thermal,ClLi,,molecular_formula
ClNa,NaCl,0.1338888888888889,0.049,latent_thermal,ClNa,,molecular_formula
ClK,KCl,0.09805555555555556,0.455,latent_thermal,ClK,,molecular_formula
Cl2Mg,MgCl2,0.12611111111111112,0.342,latent_thermal,Cl2Mg,,molecular_formula
CaCl2,CaCl2,0.07027777777777777,0.2,latent_thermal,CaCl2,,molecular_formula
CLi2O3,Li2CO3,0.1413888888888889,7.05,latent_thermal,CLi2O3,,molecular_formula
CNa2O3,Na2CO3,0.04583333333333333,0.324,latent_thermal,CNa2O3,,molecular_formula
CK2O3,K2CO3,0.05611111111111111,1.1,latent_thermal,CK2O3,,molecular_formula
CMg2O3,Mg2CO3,0.1938888888888889,,latent_thermal,CMg2O3,,molecular_formula
CCaO3,CaCO3,,,latent_thermal,CCaO3,,molecular_formula
Cu,Copper (Cu),0.05361111111111111,3.25,latent_thermal,Cu,,molecular_formula
Ni,Nickel (Ni),0.08333333333333333,6.25,latent_thermal,Ni,,molecular_formula
Cr,Chromium (Cr),0.11111111111111112,5.25,latent_thermal,Cr,,molecular_formula
V,Vanadium (V),0.125,205.0,latent_thermal,V,,molecular_formula
Metallurgical Silicon,Silicon (Si),0.49722222222222223,1.35,latent_thermal,Si,Metallurgical Silicon,material_name
B,Boron (B),1.2777777777777777,22.5,latent_thermal,B,,molecular_formula
Al,Aluminium (Al),0.11027777777777778,1.75,latent_thermal,Al,,molecular_formula
Mg,Magnesium (Mg),0.10777777777777778,,latent_thermal,Mg,,molecular_formula
Zn,Zinc (Zn),0.04055555555555555,,latent_thermal,Zn,,molecular_formula
