,name,Cp,kth,cost,class,C_kwh,energy_type,source
0,Syltherm XLT,0.0006030555555555555,0.06,29.4,Thermal Oils,97.50345462920315,Sensible Thermal,Alva et al. 2018
1,"®
Dowtherm
A",0.00045277777777777775,0.1083,,Thermal Oils,,Sensible Thermal,Alva et al. 2018
2,Vegetable oil,0.0006969444444444444,0.11,0.835,Thermal Oils,2.3961737744121168,Sensible Thermal,Alva et al. 2018
3,"HITEC, NaNO3eKNO3e NaNO2",0.0004336111111111111,0.6,,Molten Salt,,Sensible Thermal,Alva et al. 2018
4,(7-53e 40),,,,Molten Salt,,Sensible Thermal,Alva et al. 2018
5,"HITEC XL, NaNO3e KNO3eCa(NO3)2",0.00040194444444444446,0.519,1.19,Molten Salt,5.9212163096060815,Sensible Thermal,Alva et al. 2018
6,(7e 45-48),,,,Molten Salt,,Sensible Thermal,Alva et al. 2018
7,"Solar Salt, NaNO3e KNO3 (50-50)",0.0004166666666666667,0.55,,Molten Salt,,Sensible Thermal,Alva et al. 2018
8,Sodium (Na),0.00036111111111111115,64.9,2.0,Metal Alloy,11.076923076923075,Sensible Thermal,Alva et al. 2018
9,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),0.00024722222222222224,26.3,2.0,Metal Alloy,16.179775280898877,Sensible Thermal,Alva et al. 2018
10,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),3.888888888888889e-05,14.9,13.0,Metal Alloy,668.5714285714286,Sensible Thermal,Alva et al. 2018
11,Granite,0.00024999999999999995,2.8,,Rocks,,Sensible Thermal,Alva et al. 2018
12,Quartzite,0.00023611111111111115,2.0,,Rocks,,Sensible Thermal,Alva et al. 2018
13,Marble,0.0002361111111111111,7.7,,Rocks,,Sensible Thermal,Alva et al. 2018
14,Basalt,0.0004083333333333333,3.2,,Rocks,,Sensible Thermal,Alva et al. 2018
15,,,,,Rocks,,Sensible Thermal,Alva et al. 2018
16,Hornfels,0.00022222222222222223,1.5,,Rocks,,Sensible Thermal,Alva et al. 2018
