original_name,material_name,molecular_formula,index_use,pubchem_formula
MgSO4,,MgO4S,molecular_formula,
MnSO4,,MnO4S,molecular_formula,
FeSO4,,FeO4S,molecular_formula,
CoSO4,,CoO4S,molecular_formula,
CuSO4,,CuO4S,molecular_formula,
ZnSO4,,O4SZn,molecular_formula,
CdSO4,,CdO4S,molecular_formula,
NiSO4,,NiO4S,molecular_formula,
CaCO3,,CCaO3,molecular_formula,
SrCO3,,CO3Sr,molecular_formula,
MgCO3,,CMgO3,molecular_formula,
BaCO3,,BaCO3,molecular_formula,
CdCO3,,CCdO3,molecular_formula,
ZnCO3,,CO3Zn,molecular_formula,
PbCO3,,CO3Pb,molecular_formula,
Ca(OH)2,,CaH2O2,molecular_formula,
Mg(OH)2,,H2MgO2,molecular_formula,
Be(OH)2,,BeH2O2,molecular_formula,
Mn(OH)2,,H2MnO2,molecular_formula,
Sr(OH)2,,H2O2Sr,molecular_formula,
Ba(OH)2,,BaH2O2,molecular_formula,
Ni(OH)2,,H2NiO2,molecular_formula,
Zn(OH)2,,H2O2Zn,molecular_formula,
Cd(OH)2,,CdH2O2,molecular_formula,
Rh2O3,,O3Rh2,molecular_formula,
V2O5,,O5V2,molecular_formula,
Co3O4,,Co3O4,molecular_formula,
Mn3O4,,Mn3O4,molecular_formula,
CuO,,CuO,molecular_formula,
Li2O2,,LiO,molecular_formula,
Fe2O3,Iron Ore,Fe2O3,material_name,
BaO2,,BaO2,molecular_formula,
MgO2,,MgO2,molecular_formula,
Cr5O12,,Cr5O12,molecular_formula,
PtO2,,O2Pt,molecular_formula,
PbO2,,O2Pb,molecular_formula,
Sb2O5,,O5Sb2,molecular_formula,
Mn2O3,,Mn2O3,molecular_formula,
UO3,,O3U,molecular_formula,
