,deltaV,metal_A,metal_B,mm_A,mm_B,SP_A,SP_B,specific_price,specific_energy,C_kwh
Li-Zn,0.19,Li,Zn,6.94,65.38,61.95965417867435,2.294279596206791,8.01991150442478,0.0704129409414946,113.89826070591829
Na-Zn,,Na,Zn,22.98976928,65.38,2.479363725045613,2.294279596206791,2.3424300152252244,,
K-Zn,,K,Zn,39.0983,65.38,130.44045393277966,2.294279596206791,50.249669070036546,,
Mg-Zn,0.145,Mg,Zn,24.305,65.38,2.8389220325036004,2.294279596206791,2.4418799130289344,0.04333167629914577,56.35322982132295
Ca-Zn,0.305,Ca,Zn,40.078,65.38,3.4931882828484455,2.294279596206791,2.7499099167441066,0.0775135467305573,35.47650743299094
Ba-Zn,,Ba,Zn,137.327,65.38,5.971149154936756,2.294279596206791,4.785231886417341,,
Li-Cd,0.465,Li,Cd,6.94,112.414,61.95965417867435,3.4693187681249666,6.870318548184392,0.1044174961319548,65.79662223945891
Na-Cd,0.12,Na,Cd,22.98976928,112.414,2.479363725045613,3.4693187681249666,3.301237494176794,0.02375241607946666,138.98533450795463
K-Cd,,K,Cd,39.0983,112.414,130.44045393277966,3.4693187681249666,36.23468193671404,,
Mg-Cd,0.15,Mg,Cd,24.305,112.414,2.8389220325036004,3.4693187681249666,3.3572510038838788,0.029404898611994915,114.17318754210501
Ca-Cd,,Ca,Cd,40.078,112.414,3.4931882828484455,3.4693187681249666,3.475592162211788,,
Ba-Cd,,Ba,Cd,137.327,112.414,5.971149154936756,3.4693187681249666,4.8450194401399855,,
Li-Hg,,Li,Hg,6.94,200.592,61.95965417867435,1.3460157932519743,3.3729738064491257,,
Na-Hg,0.4,Na,Hg,22.98976928,200.592,2.479363725045613,1.3460157932519743,1.4625521618020898,0.047949148940358344,30.502150593356486
K-Hg,0.395,K,Hg,39.0983,200.592,130.44045393277966,1.3460157932519743,22.403910379352016,0.0441676138379864,507.2474700927473
Mg-Hg,,Mg,Hg,24.305,200.592,2.8389220325036004,1.3460157932519743,1.5073567010676,,
Ca-Hg,,Ca,Hg,40.078,200.592,3.4931882828484455,1.3460157932519743,1.7035775127768316,,
Ba-Hg,,Ba,Hg,137.327,200.592,5.971149154936756,1.3460157932519743,3.225625075831782,,
Li-Al,0.3,Li,Al,6.94,26.9815384,61.95965417867435,2.4461170086580384,14.621978347538624,0.23702983549433196,61.68834533865369
Na-Al,,Na,Al,22.98976928,26.9815384,2.479363725045613,2.4461170086580384,2.461412472686366,,
K-Al,,K,Al,39.0983,26.9815384,130.44045393277966,2.4461170086580384,78.17815728798755,,
Mg-Al,0.135,Mg,Al,24.305,26.9815384,2.8389220325036004,2.4461170086580384,2.632269679561762,0.07054848334236573,37.311499196766334
Ca-Al,0.425,Ca,Al,40.078,26.9815384,3.4931882828484455,2.4461170086580384,3.071897077060703,0.1698578688364156,18.085103140079685
Ba-Al,0.34,Ba,Al,137.327,26.9815384,5.971149154936756,2.4461170086580384,5.392294330091855,0.055459517265246526,97.22937731863226
Li-Ga,0.58,Li,Ga,6.94,69.723,61.95965417867435,731.4659438062046,670.8581714777664,0.2027680309348128,3308.5006960167125
Na-Ga,0.10500000000000001,Na,Ga,22.98976928,69.723,2.479363725045613,731.4659438062046,550.7008408496974,0.030353379099640386,18142.98299513618
K-Ga,,K,Ga,39.0983,69.723,130.44045393277966,731.4659438062046,515.5240747905051,,
Mg-Ga,0.195,Mg,Ga,24.305,69.723,2.8389220325036004,731.4659438062046,543.1254519930234,0.055582069525389605,9771.59462810082
Ca-Ga,,Ca,Ga,40.078,69.723,3.4931882828484455,731.4659438062046,465.7516780357192,,
Ba-Ga,,Ba,Ga,137.327,69.723,5.971149154936756,731.4659438062046,250.27771069789904,,
Li-In,0.525,Li,In,6.94,114.818,61.95965417867435,644.4982494034036,611.2945350613512,0.11556307730635085,5289.704543267273
Na-In,0.18,Na,In,22.98976928,114.818,2.479363725045613,644.4982494034036,537.3935039143535,0.03500709738794198,15350.987200082918
K-In,0.13,K,In,39.0983,114.818,130.44045393277966,644.4982494034036,513.9156801456376,0.02263685233828747,22702.612203570898
Mg-In,0.175,Mg,In,24.305,114.818,2.8389220325036004,644.4982494034036,532.3993875922745,0.03371292349615487,15792.145337173066
Ca-In,0.48,Ca,In,40.078,114.818,3.4931882828484455,644.4982494034036,478.6437351513273,0.0830535757325345,5763.071980100534
Ba-In,,Ba,In,137.327,114.818,5.971149154936756,644.4982494034036,296.73402209046384,,
Li-Tl,,Li,Tl,6.94,204.38,61.95965417867435,5871.415989822879,5680.626537951922,,
Na-Tl,0.265,Na,Tl,22.98976928,204.38,2.479363725045613,5871.415989822879,5277.997175262824,0.031237081684369273,168965.75770405217
K-Tl,0.255,K,Tl,39.0983,204.38,130.44045393277966,5871.415989822879,4949.517061684758,0.028069664387613463,176329.7556157769
Mg-Tl,0.175,Mg,Tl,24.305,204.38,2.8389220325036004,5871.415989822879,5247.694426831668,0.02050962264930168,255864.99159750968
Ca-Tl,,Ca,Tl,40.078,204.38,3.4931882828484455,5871.415989822879,4909.39138829574,,
Ba-Tl,,Ba,Tl,137.327,204.38,5.971149154936756,5871.415989822879,3514.1802772550755,,
Li-Sn,0.635,Li,Sn,6.94,118.71,61.95965417867435,26.956448487911718,28.889773179466776,0.13544673254631473,213.29250721930993
Na-Sn,0.335,Na,Sn,22.98976928,118.71,2.479363725045613,26.956448487911718,22.98521738284654,0.06336259630766407,362.75687428020285
K-Sn,,K,Sn,39.0983,118.71,130.44045393277966,26.956448487911718,52.5954591742006,,
