full_name,cost,ref
Active carbon,30.00,41
AQDS,4.80,25
CaCl2,0.11,42
Carbonate Electrolyte,14.00,41
Cd(OH)2,3.43,42
CrCl3 6H2O,2.04,42
CuCl,4.55,42
Cu-PBA,10.00,44
FeCl2,2.53,42
DI H2O,0.001,45
Graphite,12.00,41
H2SO4,0.20,42
HBr,3.33,42
HCl,0.65,42
KOH,0.82,42
LaNi5,10.05,42
LCO,40.00,41
LFP,10.00,42
Li2S,1.87,48
Li2SO4,0.85,50
LiOH H2O,1.52,42
Lithium metal,50.05,42
LMO,10.00,42
LMP,10.00,47
LNMO,20.00,41
LRMO LMNO,20.00,41
LTO,12.00,41
Mg,2.43,42
MnO2,1.52,42
MoS2,30.02,42
Na,3.00,42
Na2S,0.72,42
Na2SO4,0.07,42
Na2Zn(OH)4,0.68,43
NaBr,1.51,42
NaCl,0.04,42
NaOH,0.34,42
NCA,34.00,41
NCM111,20.00,41
NCM622,25.00,41
NH4Cl,0.14,42
Ni(OH)2,20.00,42
NiCl2 6H2O,5.10,42
NMO,5.00,46
NTP,10.00,47
P2-Na2Mn2NiO6,15.00,41
Pb,1.50,42
Pb2Sb,3.00,49
PPy-AC,30.00,41
S,0.25,42
Si,40.00,41
Ti2S4,80.00,51
TiS2,80.00,51
VOSO4 4H2O,10.20,42
Zn,3.00,42
Zn0.25V2O5,10.00,52
ZnBr2,1.56,42
ZnSO4 7H2O,0.41,42
