original_name,material_name,molecular_formula,index_use,pubchem_formula
Sand,Sand,SiO2,material_name,O2Si
Na2CO3,Sodium Carbonate,Na2CO3,molecular_formula,CNa2O3
K2CO3,Potassium Carbonate,K2CO3,molecular_formula,CK2O3
Li2CO3,Lithium Carbonate,Li2CO3,molecular_formula,CLi2O3
Solar Salt,Solar Salt,,material_name,
Hitec XL,Hitec XL,,material_name,
Hitec,Hitec,,material_name,KN3Na2O8
Halotechnics,,,,
Anhydrous,Ammonia,H3N,molecular_formula,H3N
Vermiculite,Vermiculite,AlFeH3MgO6Si,material_name,AlFeH3MgO6Si-3
Silica Gel,Silica,H3N,molecular_formula,O2Si
Zeolite,Aluminosilicate,Al2O5Si,material_name,Al2O5Si
Activated Carbon,Activated Carbon,C,molecular_formula,CH4
Expanded Natural,Graphite,C,material_name,CH4
Activated Alumina,Alumina,Al2O3,molecular_formula,Al2O3
KCl,Potassium Chloride,ClK,molecular_formula,ClK
MgCl2,Magnesium Chloride,Cl2Mg,molecular_formula,Cl2Mg
NaCl,Sodium Chloride,ClNa,molecular_formula,ClNa
LiCl,Lithium chloride,ClLi,molecular_formula,ClLi
