original_name,molecular_formula,material_name,index_use
LiF,LiF,,molecular_formula_norm
NaF,NaF,,molecular_formula_norm
KF,KF,,molecular_formula_norm
MgF2,MgF2,,molecular_formula_norm
CaF2,CaF2,,molecular_formula_norm
LiCl,LiCl,,molecular_formula_norm
NaCl,NaCl,,molecular_formula_norm
KCl,KCl,,molecular_formula_norm
MgCl2,MgCl2,,molecular_formula_norm
CaCl2,CaCl2,,molecular_formula_norm
Li2CO3,Li2CO3,,molecular_formula_norm
Na2CO3,Na2CO3,,molecular_formula_norm
K2CO3,K2CO3,,molecular_formula_norm
Mg2CO3,Mg2CO3,,molecular_formula_norm
CaCO3,CaCO3,,molecular_formula_norm
Copper (Cu),Cu,,molecular_formula_norm
Nickel (Ni),Ni,,molecular_formula_norm
Chromium (Cr),Cr,,molecular_formula_norm
Vanadium (V),V,,molecular_formula_norm
Silicon (Si),Si,Metallurgical Silicon,material_name
Boron (B),B,,molecular_formula_norm
Aluminium (Al),Al,,molecular_formula_norm
Magnesium (Mg),Mg,,molecular_formula_norm
Zinc (Zn),Zn,,molecular_formula_norm
