index,original_name,molecular_formula,specific_price
LiF,LiF,LiF,0.0325
NaF,NaF,NaF,1.61
KF,KF,KF,5.3
MgF2,MgF2,MgF2,0.87
CaF2,CaF2,CaF2,0.12
LiCl,LiCl,LiCl,8.0
NaCl,NaCl,NaCl,0.049
KCl,KCl,KCl,0.455
MgCl2,MgCl2,MgCl2,0.342
CaCl2,CaCl2,CaCl2,0.2
Li2CO3,Li2CO3,Li2CO3,7.05
Na2CO3,Na2CO3,Na2CO3,0.324
K2CO3,K2CO3,K2CO3,1.1
Cu,Copper (Cu),Cu,3.25
Ni,Nickel (Ni),Ni,6.25
Cr,Chromium (Cr),Cr,5.25
V,Vanadium (V),V,205.0
Metallurgical Silicon,Silicon (Si),Si,1.35
B,Boron (B),B,22.5
Al,Aluminium (Al),Al,1.75
