index,original_name,specific_price
NNaO3,NaNO3,6.0
KNO3,KNO3,7.0
Mg,Mg (NO3)2,226.0
CNa2O3,Na2CO3,3.0
CK2O3,K2CO3,7.0
CCaO3,CaCO3,8.0
CLi2O3,Li2CO3,111.0
Cl2Zn,ZnCl2,14.0
ClNa,NaCl,2.8
ClK,KCl,7.6
Cl2Mg,MgCl2,55.0
ClLi,LiCl,55.0
CaCl2,CaCl2,5.3
Na2O4S,Na2SO4,3.4
Li2O4S,Li2SO4,180.0
K2O4S,K2SO4,8.25
MgO4S,MgSO4,13.7
CaO4S,CaSO4,27.0
FLi,LiF,220.0
FNa,NaF,7.6
KF,KF,203.0
CaF2,CaF2,11.4
HNaO,NaOH,4.1
KOH,KOH,5.0
HLiO,LiOH,165.0
Cu,Cu,84.0
Zn,Zn,10.0
Al,Al,25.0
Syltherm XLT,Syltherm XLT,29.4
Vegetable Oil,Vegetable oil,0.835
HITEC XL,"HITEC XL, NaNO3e KNO3eCa(NO3)2",1.19
Na,Sodium (Na),2.0
NaK,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),2.0
BiNa3,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),13.0
