index,original_name,Cp,kth,sp_latent_heat,phase_change_T
NNaO3,NaNO3,,,0.04777777777777778,306.0
KNO3,KNO3,,0.5,0.07388888888888889,335.0
CaN2O6,Ca(NO3)2,,,0.04027777777777778,560.0
Mg,Mg (NO3)2,,,,426.0
CNa2O3,Na2CO3,,,0.07666666666666666,854.0
CK2O3,K2CO3,,,0.06555555555555556,897.0
CCaO3,CaCO3,,,0.03944444444444444,1330.0
CLi2O3,Li2CO3,,,0.1413888888888889,732.0
Cl2Zn,ZnCl2,,0.5,0.020833333333333332,280.0
ClNa,NaCl,,,0.11666666666666667,802.0
ClK,KCl,,,0.09805555555555556,771.0
Cl2Mg,MgCl2,,,0.12555555555555556,714.0
ClLi,LiCl,,,0.1225,610.0
CaCl2,CaCl2,,,0.07027777777777777,772.0
Na2O4S,Na2SO4,,,0.04583333333333333,884.0
Li2O4S,Li2SO4,,,0.023333333333333334,858.0
K2O4S,K2SO4,,,0.058888888888888886,1069.0
MgO4S,MgSO4,,,0.03388888888888889,1130.0
CaO4S,CaSO4,,,0.05638888888888889,1460.0
FLi,LiF,,,0.29,850.0
FNa,NaF,,,0.22055555555555556,996.0
KF,KF,,,0.13,858.0
CaF2,CaF2,,,0.10861111111111112,1418.0
HNaO,NaOH,,,0.04583333333333333,318.0
KOH,KOH,,,0.041666666666666664,380.0
HLiO,LiOH,,,0.2425,462.0
Cu,Cu,,401,0.057777777777777775,1084.0
Zn,Zn,,116,0.03138888888888889,419.0
Al,Al,,204,0.11027777777777778,660.0
Mg23Zn27,Zn54Mg46,,,0.05138888888888889,340.0
Mg12Zn13,Zn52Mg48,,,0.05,340.0
AlZn24,Zn96Al4,,,0.03833333333333333,381.0
Al59Mg33Zn6,Al59Mg33Zn6,,,0.08611111111111111,443.0
Al30Mg17Zn3,Al60Mg34Zn6,,,0.09141666666666667,450.3
Cu5Mg12Zn3,Mg60Cu25Zn15,,,0.07055555555555555,452.0
Ca4Mg21,Mg84Ca16,,,0.07555555555555556,790.0
Mg47Si38Zn15,Mg47Si38Zn15,,,0.08722222222222223,800.0
Cu4Si,Cu80Si20,,,0.05472222222222222,803.0
Cu83P10Si7,Cu83P10Si7,,,0.025555555555555557,840.0
Ca21Mg30Si49,Si49Mg30Ca21,,,0.08472222222222223,865.0
Mg11Si14,Si56Mg44,,,0.21027777777777779,946.0
Syltherm XLT,Syltherm XLT,0.0006030555555555555,0.06,,
Dowtherm,Dowtherm A,0.00045277777777777775,0.1083,,
Vegetable Oil,Vegetable oil,0.0006969444444444444,0.11,,
HITEC,"HITEC, NaNO3eKNO3e NaNO2",0.0004336111111111111,0.6,,
HITEC XL,"HITEC XL, NaNO3e KNO3eCa(NO3)2",0.00040194444444444446,0.519,,
Solar Salt,"Solar Salt, NaNO3e KNO3 (50-50)",0.0004166666666666667,0.55,,
Na,Sodium (Na),0.00036111111111111115,64.9,,
NaK,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),0.00024722222222222224,26.3,,
BiNa3,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),3.888888888888889e-05,14.9,,
Stone,Granite,0.00024999999999999995,2.8,,
Stone,Quartzite,0.00023611111111111115,2.0,,
Stone,Marble,0.0002361111111111111,7.7,,
Stone,Basalt,0.0004083333333333333,3.2,,
