index,original_name,Cp,kth,specific_price,class,material_name,molecular_formula,index_use,pubchem_formula,specific_energy,energy_type
Syltherm XLT,Syltherm XLT,0.0006030555555555555,0.06,29.4,Thermal Oils,Syltherm XLT,,material_name,,0.30152777777777773,sensible_thermal
Dowtherm,Dowtherm A,0.00045277777777777775,0.1083,,Thermal Oils,Dowtherm,C24H20O,material_name,C24H20O,0.22638888888888886,sensible_thermal
Vegetable Oil,Vegetable oil,0.0006969444444444444,0.11,0.835,Thermal Oils,Vegetable Oil,C57H104O9,material_name,C57H104O9,0.3484722222222222,sensible_thermal
HITEC,"HITEC, NaNO3eKNO3e NaNO2",0.0004336111111111111,0.6,,Molten Salt,HITEC,(NaNO3)7(KNO3)53(NaNO2)40,material_name,KN3Na2O8,0.21680555555555556,sensible_thermal
HITEC XL,"HITEC XL, NaNO3e KNO3eCa(NO3)2",0.00040194444444444446,0.519,1.19,Molten Salt,HITEC XL,(NaNO3)7(KNO3)45(Ca(NO3)2)48,material_name,,0.20097222222222222,sensible_thermal
Solar Salt,"Solar Salt, NaNO3e KNO3 (50-50)",0.0004166666666666667,0.55,,Molten Salt,Solar Salt,NaNO3KNO3,material_name,,0.20833333333333334,sensible_thermal
Na,Sodium (Na),0.00036111111111111115,64.9,2.0,Metal Alloy,Sodium,Na,molecular_formula,Na,0.18055555555555558,sensible_thermal
NaK,Sodium(22.2%)epotassium (77.8%) eutectic (NaK),0.00024722222222222224,26.3,2.0,Metal Alloy,Sodium Potassium Alloy,NaK,molecular_formula,,0.12361111111111112,sensible_thermal
BiNa3,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),3.888888888888889e-05,14.9,13.0,Metal Alloy,Sodium Bismuth,BiNa3,molecular_formula,,0.019444444444444445,sensible_thermal
Stone,Granite,0.00024999999999999995,2.8,,Rocks,Stone,,material_name,,0.12499999999999997,sensible_thermal
Stone,Quartzite,0.00023611111111111115,2.0,,Rocks,Stone,,material_name,,0.11805555555555557,sensible_thermal
Stone,Marble,0.0002361111111111111,7.7,,Rocks,Stone,,material_name,,0.11805555555555555,sensible_thermal
Stone,Basalt,0.0004083333333333333,3.2,,Rocks,Stone,,material_name,,0.20416666666666666,sensible_thermal
