,class,original_name,phase_change_T,sp_latent_heat,density,kth,vol_latent_heat,specific_price
0,Parafﬁn,n-Dodecane (Carbon atoms-12),-10.0,216.0,,,,10.0
1,Parafﬁn,n-Tridecane (Carbon atoms-13),-5.0,160.0,,,,200.0
2,Parafﬁn,n-Tetradecane (Carbon atoms-14),6.0,229.0,760 (L),0.21(S),,10.0
3,Parafﬁn,n-Pentadecane (Carbon atoms-15),10.0,206.0,770(L),,,330.0
4,Parafﬁn,n-Hexadecane (Carbon atoms-16),20.0,236.0,773(L),0.21(S),182.4,414.0
5,Parafﬁn,n-Heptadecane (Carbon atoms-17),22.6,214.0,778(L),,166.5,770.0
6,Parafﬁn,n-Octadecane (Carbon atoms-18),28.4,244.0,776(L) 814(S),0.148(L),189.3,380.0
7,Parafﬁn,,,,,0.358(S),,
8,Parafﬁn,n-Nonadecane (Carbon atoms-19),32.0,222.0,785 (L),,174.3,1150.0
9,Parafﬁn,n-Eicozane (Carbon atoms-20),36.6,247.0,788 (L),,194.6,
10,Parafﬁn,n-Heneicozane (Carbon atoms-21),40.2,213.0,791 (L),,168.5,
11,Parafﬁn,n-Docozane (Carbon atoms-22),44.0,249.0,794 (L),,197.7,
12,Parafﬁn,n-Trikozane (Carbon atoms-23),47.5,234.0,796 (L),,186.3,
13,Parafﬁn,n-Tetracozane (Carbon atoms-24),50.6,255.0,799 (L),,203.7,
14,Parafﬁn,n-Pentacozane (Carbon atoms-25),53.5,238.0,801 (L),,190.6,
15,Parafﬁn,Rubitherm RT-5,5.0,180.0,"880 (S, -15 degC)",,158.4,7.0
16,Parafﬁn,,,,"770 (L, 15 degC)",,,
17,Parafﬁn,Rubitherm RT-25,25.0,148.0,,,,6.24
18,Parafﬁn,Rubitherm RT-50,50.0,168.0,,,,7.0
19,Parafﬁn,Rubitherm RT-82,82.0,178.0,,,,7.0
20,Parafﬁn,"®
PRS
parafﬁn wax",42.5,202.0,,,,1.8
21,Fatty acids,Caprylic acid (Carbon atoms-8),16.0,148.6,"981 (S, 13 degC)","0.149(L, 38.6 degC)",145.8,
22,Fatty acids,,,,"901 (L, 30 degC)",,,
23,Fatty acids,Capric acid (Carbon atoms-10),32.0,152.7,"1004 (S, 24 degC)","0.153(L, 38.5 degC)",153.3,
24,Fatty acids,,,,"878 (L, 45 degC)",,,
25,Fatty acids,Lauric acid (Carbon atoms-12),42.0,171.0,870 (L),0.149,148.8,75.0
26,Fatty acids,Myristic acid (Carbon atoms-14),54.0,190.0,860 (L),,163.4,
27,Fatty acids,Palmitic acid (Carbon atoms-16),64.0,185.4,"989 (S, 24 degC),","0.162(L,68.4 degC)",183.4,28.0
28,Fatty acids,,,,"850 (L, 65 degC)",,,
29,Fatty acids,Stearic acid (Carbon atoms-18),69.0,209.0,940 (L),,196.5,41.0
30,Esters,Methyl palmitate,27.0,163.2,,,,220.0
31,Esters,Allyl palmitate,23.0,173.0,,,,
32,Esters,Propyl palmitate,20.0,190.0,,,,
33,Esters,Methyl stearate,39.0,160.7,,,,63.0
34,Esters,Isopropyl palmitate,11.0,100.0,,,,16.0
35,Esters,Isopropyl stearate,14.0,142.0,,,,
36,Esters,Butyl stearate,23.0,200.0,,,,116.0
37,Esters,Ethylene glycol distearate,63.2,215.8,,,,453.0
38,Esters,Dimethyl sebacate,21.0,135.0,,,,63.0
39,Esters,Methyl-12hydroxystearate,43.0,126.0,,,,
40,Esters,Vinyl stearate,27.0,122.0,,,,1170.0
41,Alcohols,Xylitol,93.0,280.0,1520,,425.6,133.0
42,Alcohols,D-Sorbitol,97.0,110.0,1490,,163.9,179.0
43,Alcohols,meso-Erythritol,117.0,344.0,1450,,498.8,430.0
44,Alcohols,D-Mannitol,165.0,341.0,,,,90.0
45,Alcohols,1-Dodecanol,23.3,184.0,,,,190.0
46,Alcohols,1-Tetradecanol,39.3,221.0,,,,180.0
47,Glycols,PEG400,4.2,117.6,1128,,132.7,12.0
48,Glycols,PEG600,12.5,129.1,,,,12.0
49,Glycols,PEG1000,40.0,168.6,,,,15.0
