original_name,SM_type,materials
MgSO4/MgO,thermochemical,MgSO4
MnSO4/MnO,thermochemical,MnSO4
FeSO4/FeO,thermochemical,FeSO4
CoSO4/CoO,thermochemical,CoSO4
CuSO4/CuO,thermochemical,CuSO4
ZnSO4/ZnO,thermochemical,ZnSO4
CdSO4/CdO,thermochemical,CdSO4
NiSO4/NiO,thermochemical,NiSO4
CaCO3/CaO,thermochemical,CaCO3
SrCO3/SrO,thermochemical,SrCO3
MgCO3/MgO,thermochemical,MgCO3
BaCO3/BaO,thermochemical,BaCO3
CdCO3/CdO,thermochemical,CdCO3
ZnCO3/ZnO,thermochemical,ZnCO3
PbCO3/PbO,thermochemical,PbCO3
Ca(OH)2/CaO,thermochemical,Ca(OH)2
Mg(OH)2/MgO,thermochemical,Mg(OH)2
Be(OH)2/BeO,thermochemical,Be(OH)2
Mn(OH)2/MnO,thermochemical,Mn(OH)2
Sr(OH)2/SrO,thermochemical,Sr(OH)2
Ba(OH)2/BaO,thermochemical,Ba(OH)2
Ni(OH)2/NiO,thermochemical,Ni(OH)2
Zn(OH)2/ZnO,thermochemical,Zn(OH)2
Cd(OH)2/CdO,thermochemical,Cd(OH)2
Rh2O3/Rh2O,thermochemical,Rh2O3
V2O5/V2O4,thermochemical,V2O5
Co3O4/CoO,thermochemical,Co3O4
Mn3O4/MnO,thermochemical,MnO2
CuO/Cu2O,thermochemical,CuO
Li2O2/Li2O,thermochemical,Li2O
Fe2O3/Fe3O4,thermochemical,Iron Ore
BaO2/BaO,thermochemical,BaO
MgO2/MgO,thermochemical,MgO
Cr5O12/Cr2O3,thermochemical,Cr2O3
PtO2/PtO,thermochemical,PtO2
PbO2/PbO,thermochemical,PbO
Sb2O5/SbO2,thermochemical,Sb2O5
Mn2O3/Mn3O4,thermochemical,Mn2O2
