original_name,reactant,product,material_name,molecular_formula,index_use
MgSO4/MgO,MgSO4,MgO,,MgO4S,molecular_formula
MnSO4/MnO,MnSO4,MnO,Manganese sulphate,MnO4S,molecular_formula
FeSO4/FeO,FeSO4,FeO,,FeO4S,molecular_formula
CoSO4/CoO,CoSO4,CoO,Cobalt Sulphate,CoO4S,molecular_formula
CuSO4/CuO,CuSO4,CuO,,CuO4S,molecular_formula
ZnSO4/ZnO,ZnSO4,ZnO,,O4SZn,molecular_formula
CdSO4/CdO,CdSO4,CdO,,CdO4S,molecular_formula
NiSO4/NiO,NiSO4,NiO,,NiO4S,molecular_formula
CaCO3/CaO,CaCO3,CaO,,CCaO3,molecular_formula
SrCO3/SrO,SrCO3,SrO,,CO3Sr,molecular_formula
MgCO3/MgO,MgCO3,MgO,,CMgO3,molecular_formula
BaCO3/BaO,BaCO3,BaO,,BaCO3,molecular_formula
CdCO3/CdO,CdCO3,CdO,,CCdO3,molecular_formula
ZnCO3/ZnO,ZnCO3,ZnO,,CO3Zn,molecular_formula
PbCO3/PbO,PbCO3,PbO,,CO3Pb,molecular_formula
Ca(OH)2/CaO,Ca(OH)2,CaO,,CaH2O2,molecular_formula
Mg(OH)2/MgO,Mg(OH)2,MgO,,H2MgO2,molecular_formula
Be(OH)2/BeO,Be(OH)2,BeO,,BeH2O2,molecular_formula
Mn(OH)2/MnO,Mn(OH)2,MnO,,H2MnO2,molecular_formula
Sr(OH)2/SrO,Sr(OH)2,SrO,,H2O2Sr,molecular_formula
Ba(OH)2/BaO,Ba(OH)2,BaO,,BaH2O2,molecular_formula
Ni(OH)2/NiO,Ni(OH)2,NiO,,H2NiO2,molecular_formula
Zn(OH)2/ZnO,Zn(OH)2,ZnO,,H2O2Zn,molecular_formula
Cd(OH)2/CdO,Cd(OH)2,CdO,,CdH2O2,molecular_formula
Rh2O3/Rh2O,Rh2O3,Rh2O,,Rh2O3,molecular_formula
V2O5/V2O4,V2O5,V2O4,,V2O5,molecular_formula
Co3O4/CoO,Co3O4,CoO,,Co3O4,molecular_formula
Mn3O4/MnO,Mn3O4,MnO,,MnO2,molecular_formula
CuO/Cu2O,CuO,Cu2O,,CuO,molecular_formula
Li2O2/Li2O,Li2O2,Li2O,,Li2O,molecular_formula
Fe2O3/Fe3O4,Fe2O3,Fe3O4,Iron Ore,Fe2O3,material_name
BaO2/BaO,BaO2,BaO,,BaO,molecular_formula
MgO2/MgO,MgO2,MgO,,MgO,molecular_formula
Cr5O12/Cr2O3,Cr5O12,Cr2O3,,Cr2O3,molecular_formula
PtO2/PtO,PtO2,PtO,,PtO2,molecular_formula
PbO2/PbO,PbO2,PbO,,PbO,molecular_formula
Sb2O5/SbO2,Sb2O5,SbO2,,Sb2O3,molecular_formula
Mn2O3/Mn3O4,Mn2O3,Mn3O4,,MnO2,molecular_formula
UO3/U3O8,UO3,U3O8,,O3U,
