SM_name,SM_type,materials,deltaH_thermochem,type
MgSO4/MgO,thermochemical,MgSO4,0.8048611111111111,sulfates
MnSO4/MnO,thermochemical,MnSO4,0.65825,sulfates
FeSO4/FeO,thermochemical,FeSO4,0.6332722222222222,sulfates
CoSO4/CoO,thermochemical,CoSO4,0.5906388888888889,sulfates
CuSO4/CuO,thermochemical,CuSO4,0.52275,sulfates
ZnSO4/ZnO,thermochemical,ZnSO4,0.4911666666666667,sulfates
CdSO4/CdO,thermochemical,CdSO4,0.4723611111111111,sulfates
NiSO4/NiO,thermochemical,NiSO4,0.3998333333333334,sulfates
CaCO3/CaO,thermochemical,CaCO3,0.4602222222222222,carbonates
SrCO3/SrO,thermochemical,SrCO3,0.38073611111111116,carbonates
MgCO3/MgO,thermochemical,MgCO3,0.32611111111111113,carbonates
BaCO3/BaO,thermochemical,BaCO3,0.2323888888888889,carbonates
CdCO3/CdO,thermochemical,CdCO3,0.15558333333333335,carbonates
ZnCO3/ZnO,thermochemical,ZnCO3,0.1513611111111111,carbonates
PbCO3/PbO,thermochemical,PbCO3,0.08722222222222223,carbonates
Ca(OH)2/CaO,thermochemical,Ca(OH)2,0.37555555555555553,hydroxides
Mg(OH)2/MgO,thermochemical,Mg(OH)2,0.37027777777777776,hydroxides
Be(OH)2/BeO,thermochemical,Be(OH)2,0.3308333333333333,hydroxides
Mn(OH)2/MnO,thermochemical,Mn(OH)2,0.20944444444444443,hydroxides
Sr(OH)2/SrO,thermochemical,Sr(OH)2,0.20230555555555554,hydroxides
Ba(OH)2/BaO,thermochemical,Ba(OH)2,0.15151944444444446,hydroxides
Ni(OH)2/NiO,thermochemical,Ni(OH)2,0.14333333333333334,hydroxides
Zn(OH)2/ZnO,thermochemical,Zn(OH)2,0.1386,hydroxides
Cd(OH)2/CdO,thermochemical,Cd(OH)2,0.11372222222222221,hydroxides
Rh2O3/Rh2O,thermochemical,Rh2O3,0.2728055555555556,oxides
V2O5/V2O4,thermochemical,V2O5,0.26969444444444446,oxides
Co3O4/CoO,thermochemical,Co3O4,0.22669444444444445,oxides
Mn3O4/MnO,thermochemical,MnO2,0.23627777777777778,oxides
CuO/Cu2O,thermochemical,CuO,0.22505555555555556,oxides
Li2O2/Li2O,thermochemical,Li2O,0.20719444444444443,oxides
Fe2O3/Fe3O4,thermochemical,Iron Ore,0.1348888888888889,oxides
BaO2/BaO,thermochemical,BaO,0.12016666666666667,oxides
MgO2/MgO,thermochemical,MgO,0.10572222222222223,oxides
Cr5O12/Cr2O3,thermochemical,Cr2O3,0.07752777777777778,oxides
PtO2/PtO,thermochemical,PtO2,0.07680555555555556,oxides
PbO2/PbO,thermochemical,PbO,0.06413888888888888,oxides
Sb2O5/SbO2,thermochemical,Sb2O5,0.058444444444444445,oxides
Mn2O3/Mn3O4,thermochemical,Mn2O2,0.05280555555555556,oxides
