index,original_name,molecular_formula
MgO4S,MgSO4/MgO,MgO4S
MnO4S,MnSO4/MnO,MnO4S
FeO4S,FeSO4/FeO,FeO4S
CoO4S,CoSO4/CoO,CoO4S
CuO4S,CuSO4/CuO,CuO4S
O4SZn,ZnSO4/ZnO,O4SZn
CdO4S,CdSO4/CdO,CdO4S
NiO4S,NiSO4/NiO,NiO4S
CCaO3,CaCO3/CaO,CCaO3
CO3Sr,SrCO3/SrO,CO3Sr
CMgO3,MgCO3/MgO,CMgO3
BaCO3,BaCO3/BaO,BaCO3
CCdO3,CdCO3/CdO,CCdO3
CO3Zn,ZnCO3/ZnO,CO3Zn
CO3Pb,PbCO3/PbO,CO3Pb
CaH2O2,Ca(OH)2/CaO,CaH2O2
H2MgO2,Mg(OH)2/MgO,H2MgO2
BeH2O2,Be(OH)2/BeO,BeH2O2
H2MnO2,Mn(OH)2/MnO,H2MnO2
H2O2Sr,Sr(OH)2/SrO,H2O2Sr
BaH2O2,Ba(OH)2/BaO,BaH2O2
H2NiO2,Ni(OH)2/NiO,H2NiO2
H2O2Zn,Zn(OH)2/ZnO,H2O2Zn
CdH2O2,Cd(OH)2/CdO,CdH2O2
O3Rh2,Rh2O3/Rh2O,O3Rh2
O5V2,V2O5/V2O4,O5V2
Co3O4,Co3O4/CoO,Co3O4
MnO2,Mn3O4/MnO,MnO2
CuO,CuO/Cu2O,CuO
Li2O,Li2O2/Li2O,Li2O
Iron Ore,Fe2O3/Fe3O4,Fe2O3
BaO,BaO2/BaO,BaO
MgO,MgO2/MgO,MgO
Cr2O3,Cr5O12/Cr2O3,Cr2O3
O2Pt,PtO2/PtO,O2Pt
OPb,PbO2/PbO,OPb
O3Sb2,Sb2O5/SbO2,O3Sb2
MnO2,Mn2O3/Mn3O4,MnO2
