 Material ,T  (◦C),ρ  (kg·m−3),cp  (kJ·kg−1·K−1),λ  (W·m−1·K−1),106×a  (m2·s−1),10−3×b  (J·m−2·K−1·s−1/2)
Aluminum 99.99 %,20,2700,0.945,238.4,93.3,24.66
Copper (commercial),20,8300,0.419,372,107,35.97
Iron,20,7850,0.465,59.3,16.3,14.7
Lead,20,11340,0.131,35.25,23.6,7.24
Brick (dry),20,1800,0.84,0.50,0.33,0.87
Concrete (aggregates),20,2200,0.72,1.45,0.94,1.52
Granite,20,2750,0.89,2.9,1.18,2.67
Graphite,20,2200,0.61,155,120,14.41
Limestone,20,2500,0.74,2.2,1.19,2.02
Sandstone,20,2200,0.71,1.8,1.15,1.68
Slag,20,2700,0.84,0.57,0.25,1.13
Sodium chloride,20,2165,0.86,6.5,3.5,3.5
Soil (clay),20,1450,0.88,1.28,1.0,1.28
Soil (gravelly),20,2040,1.84,0.59,0.16,1.49
