SM_name,materials,energy_type,specific_strength
Al-2024,[Al],virial,150.8303249097473
Al-6061-T6,[Al],virial,101.4760147601476
Al-7075-T6,[Al],virial,166.66666666666666
Steel-4340,[Steel],virial,59.87261146496816
Steel-18Ni-300,[Steel],virial,94.27860696517413
Stainless-Steel-15-7,[Steel],virial,97.13168187744459
Stainless-Steel-440C,[Steel],virial,158.44155844155844
Stainless-Steel-455,[Steel],virial,191.8814432989691
Carbon-Steel-1020,[Steel],virial,54.79591836734694
AS4-3501–6,[CFRP],virial,1077.9384035197988
AS4–8552,[CFRP],virial,1184.844641724794
E-Glass Epoxy,[GRE],virial,398.60308285163774
IM7-8551–7,[CFRP],virial,1318.2973316391358
IM7–8552,[CFRP],virial,1389.168765743073
Kevlar-49 Epoxy,[KFRP],virial,597.1820809248555
S-2 Glass Epoxy,[GRE],virial,743.6026091319618
T300-BSL914C,[CFRP],virial,769.7241821680565
T300-PR319,[CFRP],virial,745.1984635083227
