index,original_name,specific_price,molecular_formula
Li,Li,61.95965417867435,Li
Na,Na,2.479363725045613,Na
K,K,130.44045393277966,K
Mg,Mg,2.8389220325036004,Mg
Ca,Ca,3.4931882828484455,Ca
Ba,Ba,5.971149154936756,Ba
Zn,Zn,2.294279596206791,Zn
Cd,Cd,3.4693187681249666,Cd
Hg,Hg,1.3460157932519743,Hg
Al,Al,2.4461170086580384,Al
Ga,Ga,731.4659438062046,Ga
In,In,644.4982494034036,In
Tl,Tl,5871.415989822879,Tl
Sn,Sn,26.956448487911718,Sn
Pb,Pb,2.5096525096525095,Pb
Sb,Sb,14.783180026281208,Sb
Bi,Bi,23.447174950378123,Bi
Te,Te,344.82758620689657,Te
