original_name,deltaV,materials,type_orig,SM_type
Pb acid,1,Pb,Pb acid,integrated_battery
NiCd,1,"[('Cd(OH)2', 0.5), ('Ni(OH)2', 0.5)]",NiCd,integrated_battery
NiMH,1,"[('LaNi5', 0.5), ('Ni(OH)2', 0.5)]",NiMH,integrated_battery
Zn/air,1,Zn,Zn2+ based,integrated_battery
Zn/NiOOH,1,"[('Zn', 0.5), ('Ni(OH)2', 0.5)]",Zn2+ based,integrated_battery
Zn/MnO2,1,"[('Zn', 0.5), ('MnO2', 0.5)]",Zn2+ based,integrated_battery
Zn/Br2,1,"[('Zn', 0.5), ('Br2', 0.5)]",Zn2+ based,integrated_battery
Zn/Fe,1,"[('Zn', 0.5), ('Fe', 0.5)]",Zn2+ based,integrated_battery
Zn/Zn0.25V2O5,1,"[('Zn', 0.5), ('V2O5', 0.5)]",Zn2+ based,integrated_battery
Mg/Ti2S4,1,"[('Mg', 0.25), ('TiS2', 0.75)]",Mg2+ based,integrated_battery
Li/S,3,"[('Li', 0.5), ('S', 0.5)]",Lithium metal,integrated_battery
Li/TiS2,3,"[('Li', 0.5), ('TiS2', 0.5)]",Lithium metal,integrated_battery
Li/MoS2,3,"[('Li', 0.5), ('MoS2', 0.5)]",Lithium metal,integrated_battery
Li/LCO,3,"[('Li', 0.5), ('LCO', 0.5)]",Lithium metal,integrated_battery
Li/air,3,Li,Lithium metal,integrated_battery
Na/S,1,"[('Na', 0.5), ('S', 0.5)]",High temperature,integrated_battery
Na/NiCl2,1,"[('Na', 0.5), ('NiCl2(H2O)6', 0.5)]",High temperature,integrated_battery
Li/Pb2Sb,1,"[('Li', 0.25), ('Pb', 0.5), ('Sb', 0.25)]",High temperature,integrated_battery
ICB,1,Cr,Redox flow,flow_battery
Fe/Fe,1,Fe,Redox flow,flow_battery
PSB,1,"[('S',0.5), ('Br2', 0.5)]",Redox flow,flow_battery
VRFB,1,V,Redox flow,flow_battery
Cu/Cu,1,Cr,Redox flow,flow_battery
AQDS/Br,1,"[('AQDS', 0.5), ('Br2', 0.5)]",Redox flow,flow_battery
"Aq-S/air  (Na, H+)",1,S,Flow-air,flow_battery
"Aq-S/air  (Na, OH-)",1,S,Flow-air,flow_battery
"Aq-S/air  (Li, H+)",1,S,Flow-air,flow_battery
"Aq-S/air (Li, OH-)",1,S,Flow-air,flow_battery
C6/LMO,3,"[('Graphite', 0.5), ('LMO', 0.5)]",Li ion  (C6 anode),integrated_battery
C6/LCO,3,"[('Graphite', 0.5), ('LCO', 0.5)]",Li ion  (C6 anode),integrated_battery
C6/LFP,3,"[('Graphite', 0.5), ('LFP', 0.5)]",Li ion  (C6 anode),integrated_battery
C6/LMNO,3,"[('Graphite', 0.5), ('LMNO', 0.5)]",Li ion  (C6 anode),integrated_battery
LTO/LMO,3,"[('LTO', 0.5), ('LMO', 0.5)]",Li ion  (C6 anode),integrated_battery
C6/NCM111,3,"[('Graphite', 0.5), ('NCM111', 0.5)]",Li ion  (C6 anode),integrated_battery
C6/LMP,3,"[('Graphite', 0.5), ('LMP', 0.5)]",Li ion  (C6 anode),integrated_battery
C6/NCA,3,"[('Graphite', 0.5), ('NCA', 0.5)]",Li ion  (C6 anode),integrated_battery
C6/LRMO LMNO,3,"[('Graphite', 0.5), ('LRMO LMNO', 0.5)]",Li ion  (C6 anode),integrated_battery
C6/NCM622,3,"[('Graphite', 0.5), ('NCM622', 0.5)]",Li ion  (C6 anode),integrated_battery
Si/LCO,3,"[('Polysilicon', 0.5), ('LCO', 0.5)]",Li ion  (Si anode),integrated_battery
Si/Li2S,3,"[('Polysilicon', 0.5), ('Li2S', 0.5)]",Li ion  (Si anode),integrated_battery
Na/P2-NMO,3,"[('Na', 0.5), ('P2_NMO', 0.5)]",Na ion (nonaqueous),integrated_battery
NTP/NMO,1,"[('NTP', 0.5), ('NMO', 0.5)]",Na ion (aqueous),integrated_battery
