SM_name,C_kwh_orig,type,deltaV,materials,energy_type
Pb acid,12.4,Pb acid,1,[Pb],electrochemical
NiCd,66.0,NiCd,1,"[Cd(OH)2, Ni(OH)2]",electrochemical
NiMH,82.8,NiMH,1,"[LaNi5, Ni(OH)2]",electrochemical
Zn/air,5.8,Zn2+ based,1,"[Zn, Air]",electrochemical
Zn/NiOOH,44.2,Zn2+ based,1,"[Zn, Ni(OH)2]",electrochemical
Zn/MnO2,9.0,Zn2+ based,1,"[Zn, MnO2]",electrochemical
Zn/Br2,8.0,Zn2+ based,1,"[Zn, Br2]",electrochemical
Zn/Fe,9.3,Zn2+ based,1,"[Zn(OH)4, Fe]",electrochemical
Zn/Zn0.25V2O5,50.7,Zn2+ based,1,"[Zn, Zn0.25V2O5]",electrochemical
Mg/Ti2S4,358.7,Mg2+ based,1,"[Mg, Ti2S4]",electrochemical
Li/S,13.7,Lithium metal,3,"[Li, S]",electrochemical
Li/TiS2,192.1,Lithium metal,3,"[Li, TiS2]",electrochemical
Li/MoS2,35.7,Lithium metal,3,"[Li, MoS2]",electrochemical
Li/LCO,90.3,Lithium metal,3,"[Li, Lithium Cobaltate]",electrochemical
Li/air,45.5,Lithium metal,3,"[Li, Air]",electrochemical
Na/S,1.6,High temperature,1,"[Na, S]",electrochemical
Na/NiCl2,6.6,High temperature,1,"[Na, NiCl2(H2O)6]",electrochemical
Li/Pb2Sb,64.1,High temperature,1,"[Li, Pb2Sb]",electrochemical
ICB,28.3,Redox flow,1,[Cr],electrochemical
Fe/Fe,15.5,Redox flow,1,[Fe],electrochemical
PSB,7.4,Redox flow,1,"[S, Br2]",electrochemical
VRFB,124.4,Redox flow,1,[V],electrochemical
Cu/Cu,53.0,Redox flow,1,[Cr],electrochemical
AQDS/Br,57.9,Redox flow,1,"[AQDS, Br2]",electrochemical
"Aq-S/air  (Na, H+)",1.7,Flow-air,1,"[S, Air]",electrochemical
"Aq-S/air  (Na, OH-)",4.0,Flow-air,1,"[S, Air]",electrochemical
"Aq-S/air  (Li, H+)",4.6,Flow-air,1,"[S, Air]",electrochemical
"Aq-S/air (Li, OH-)",13.2,Flow-air,1,"[S, Air]",electrochemical
C6/LMO,45.6,Li ion  (C6 anode),3,"[Graphite, LMO]",electrochemical
C6/LCO,98.3,Li ion  (C6 anode),3,"[Graphite, Lithium Cobaltate]",electrochemical
C6/LFP,44.0,Li ion  (C6 anode),3,"[Graphite, LFP]",electrochemical
C6/LMNO,51.3,Li ion  (C6 anode),3,"[Graphite, LMNO]",electrochemical
LTO/LMO,90.1,Li ion  (C6 anode),3,"[LTO, LMO]",electrochemical
C6/NCM111,51.3,Li ion  (C6 anode),3,"[Graphite, NCM111]",electrochemical
C6/LMP,36.3,Li ion  (C6 anode),3,"[Graphite, LMP]",electrochemical
C6/NCA,68.3,Li ion  (C6 anode),3,"[Graphite, NCA]",electrochemical
C6/LRMO LMNO,35.6,Li ion  (C6 anode),3,"[Graphite, LRMO LMNO]",electrochemical
C6/NCM622,47.1,Li ion  (C6 anode),3,"[Graphite, NCM622]",electrochemical
Si/LCO,97.2,Li ion  (Si anode),3,"[Polysilicon, Lithium Cobaltate]",electrochemical
Si/Li2S,12.5,Li ion  (Si anode),3,"[Polysilicon, Li2S]",electrochemical
Na/P2-NMO,38.9,Na ion (nonaqueous),3,"[Na, P2_NMO]",electrochemical
NTP/NMO,212.4,Na ion (aqueous),1,"[NTP, NMO]",electrochemical
