index,original_name,molecular_formula,specific_price
Sand,Sand,O2Si,0.72
CNa2O3,Na2CO3,CNa2O3,0.23
CK2O3,K2CO3,CK2O3,1.1
CLi2O3,Li2CO3,CLi2O3,7.0
Solar Salt,Solar Salt,,0.49
Hitec XL,Hitec XL,,1.43
Hitec,Hitec,,0.93
H3N,Anhydrous,H3N,0.7
Vermiculite,Vermiculite,AlFeH3MgO6Si,0.33
H3N,Silica Gel,H3N,1.11
Zeolite,Zeolite,Al2O5Si,1.93
C,Activated Carbon,C,2.75
Graphite,Expanded Natural,C,2.15
Al2O3,Activated Alumina,Al2O3,1.32
ClK,KCl,ClK,0.35
Cl2Mg,MgCl2,Cl2Mg,0.2
ClNa,NaCl,ClNa,0.12
ClLi,LiCl,ClLi,7.8
