material_name,pubchem_formulas,pubchem_top_formula
Quartz,{'O2Si': 19},O2Si
Ammonium Paratungstate,"{'H8N2O4W': 7, 'H40N10O41W12': 4, 'W': 5, 'O4W-2': 1, 'H20NO7W6+': 1}",H8N2O4W
Vegetable Oil,"{'C57H104O9': 3, 'C54H100O7': 1, 'C21H44O6': 1}",C57H104O9
KFRP,{},
Gypsum,"{'CaO4S': 11, 'CaH4O6S': 7}",CaO4S
Molybdenum,"{'Mo': 50, 'Mo2': 1, 'C30H24MoO4P2': 1, 'Mo+2': 1}",Mo
Potassium Oxide,"{'K2O': 7, 'HK2O+': 4}",K2O
Phosphorite,{},
Zirconium Oxide,"{'O2Zr': 21, 'OZr': 3, 'H2OZr': 2, 'H4O2Zr': 1}",O2Zr
Bismuth Oxide,"{'Bi2O3': 12, 'BiO': 3, 'BiO3-6': 2, 'BiH2O': 2, 'Bi4O6': 1, 'Bi2O4-5': 1}",Bi2O3
Selenium,"{'Se': 44, 'Se2': 3, 'H2Se': 1, 'C24H32ClNO4': 1}",Se
Ammonia,"{'H3N': 80, 'H4N+': 2, 'H2N-': 11, 'H5NO': 1, 'C2H5Br': 1}",H3N
Ammonium Teptamolybdate,{},
Sodium Tungstate,"{'Na2O4W': 23, 'H2NaOW': 3, 'Na2O4W-6': 2, 'H4Na2O6W': 2, 'H2Na2O5W': 2, 'O4W-2': 1, 'H8Na2O4W': 1, 'W': 2}",Na2O4W
Ruthenium,"{'Ru': 51, 'C72H60P4Ru': 1}",Ru
Rhenium,{'Re': 50},Re
Cobalt,"{'Co': 51, 'Co2': 2, 'C19H15NNa2O7': 2, 'C9H11Cl3NO3PS': 1, 'C45H61CoN6O12-': 1, 'C60H85CoN13O15P-': 1, 'C48H72CoN11O8-': 1, 'Co+2': 1, 'C32H22CoLiN6O8S2': 1, 'C7H7Cl2N': 1}",Co
Ferrrochromium,{},
Granite,{'C16H14F5N5O5S': 3},C16F5H14N5O5S
Iron Oxide,"{'Fe2O3': 12, 'FeO': 10, 'Fe3O4': 2, 'Fe2H6O3': 1, 'FeO2': 1, 'FeH3O3': 1}",Fe2O3
Scandium,"{'Sc': 32, 'F3Sm': 1}",Sc
Potassium Carbonate,"{'CK2O3': 56, 'CKO3-2': 1, 'CH2K2O3': 1}",CK2O3
Bismuth,"{'Bi': 41, 'Bi4': 4, 'C7H6BiO4': 2, 'Bi3': 3, 'Bi+3': 1, 'C9H64Bi10O25': 1, 'BiH3': 1, 'C14H13NO4': 1}",Bi
Solar Salt,{},
