original_name,material_name,molecular_formula,index_use
Aluminum Ingot,Aluminum,Al,molecular_formula
Antimony Metal,Antimony,Sb,molecular_formula
Arsenic Mtl-CN,Arsenic,As,molecular_formula
Arsenic Triox-CN,Arsenic Trioxide,As2O3,molecular_formula
Arsenic Triox-MA,Arsenic Trioxide,As2O3,molecular_formula
Asbestos Customs,Asbestos,Mg3Si2O5(OH)4,material_name
"Barite ",Barite,BaO4S,material_name
Bauxite and Alumina Bauxite,Bauxite,AlHO2,material_name
Bauxite and Alumina Alumina,Alumina,Al2O3,molecular_formula
Beryllium Alloy,Beryllium,Be,molecular_formula
"Bismuth ",Bismuth,Bi,molecular_formula
Boron CIF,Boron,B,molecular_formula
Bromine Imports,Bromine,Br2,molecular_formula
Cadmium Metal,Cadmium,Cd,molecular_formula
Cement Avg,Cement,(CaO)1(Al2O5Si)1,material_name
Chromium Ore,Chromite,CrFeO4,molecular_formula
Chromium Ferrrochromium,Ferrrochromium,FeCr,molecular_formula
Chromium Metal,Chromium,Cr,molecular_formula
Clays Ball,Clay,Al2O5Si,material_name
Clays Bentonite,Clay,Al2O5Si,material_name
Clays Common,Clay,Al2O5Si,material_name
Clays Fire,Clay,Al2O5Si,material_name
Clays Fullers,Clay,Al2O5Si,material_name
Clays Kaolin,Clay,Al2O5Si,material_name
Cobalt Spot,Cobalt,Co,molecular_formula
Cobalt LME,Cobalt,Co,molecular_formula
Copper US,Copper,Cu,molecular_formula
Copper COMEX,Copper,Cu,molecular_formula
Copper LME,Copper,Cu,molecular_formula
Diamond (Industrial) Bort_Imports,Diamond,CH4,material_name
Diamond (Industrial) Stones_Imports,Diamond,CH4,material_name
"Diatomite ",Diatomite,O2Si,material_name
Feldspar and Nepheline Syenite Feldspar,Feldspar,AlKO8Si3,material_name
Feldspar and Nepheline Syenite Nepheline_syenite,Syenite,"Al2KNaO8Si2 ",material_name
"Iron Ore ",Iron Ore,Fe2O3,material_name
"Iron Oxide Pigments ",Iron Oxide Pigment,Fe2O3,material_name
"Iron and Steel Scrap ",Iron,Fe,molecular_formula
"Iron and Steel Slag ",Iron,Fe,molecular_formula
"Iron and Steel ",Steel,Fe,material_name
Fluorspar Acid,Fluorspar,CaF2,molecular_formula
Fluorspar Metallurgical,Fluorspar,CaF2,molecular_formula
Gallium High-purity,Gallium,Ga,molecular_formula
Gallium Low-purity,Gallium,Ga,molecular_formula
Garnet (Industrial) Import,Gallium,Ga,molecular_formula
Germanium Metal,Germanium,Ge,molecular_formula
Germanium GeO2,Germanium Dioxide,GeO2,molecular_formula
"Gold ",Gold,Au,molecular_formula
Graphite (Natural) Flake,Graphite,CH4,material_name
Graphite (Natural) Lump,Graphite,CH4,material_name
Graphite (Natural) Amorphous,Graphite,CH4,material_name
Gypsum Mine,Gypsum,CaO4S,molecular_formula
Gypsum Plant,Gypsum,CaO4S,molecular_formula
Indium NY,Indium,In,molecular_formula
Indium FOB,Indium,In,molecular_formula
Indium Rotterdam,Indium,In,molecular_formula
Iodine Crude_CIF,Iodine,I2,molecular_formula
Kyanite and Related Minerals FOB,kyanite,Al2H6O5Si,material_name
Lead North_American,Lead,Pb,molecular_formula
Lead LME,Lead,Pb,molecular_formula
Lime Quicklime,Lime,CaO,molecular_formula
Lime Hydrated,Lime,CaO,molecular_formula
"Lithium ",Lithium Carbonate,CLi2O3,molecular_formula
Manganese CN_CIF,Manganese,Mn,molecular_formula
Mercury EU,Mercury,Hg,molecular_formula
Mercury Global,Mercury,Hg,molecular_formula
Magnesium Metal US_spot,Magnesium,Mg,molecular_formula
Magnesium Metal European,Magnesium,Mg,molecular_formula
"Molybdenum ",Molybdenum,Mo,molecular_formula
"Nickel ",Nickel,Ni,molecular_formula
"Niobium (Columbium) ","Niobium ",Nb,molecular_formula
"Nitrogen (Fixed)--Ammonia ",Ammonia,H3N,molecular_formula
"Peat ",Peat,K,material_name
Perlite FOB,Perlite,Al2CaFe2K2MgNa2O12Si,material_name
"Phosphate Rock ",Phosphorite,Ca5(PO4)3F,material_name
Platinum-Group Metals Palladium,Palladium,Pd,molecular_formula
Platinum-Group Metals Platinum,Platinum,Pt,molecular_formula
Platinum-Group Metals Iridium,Iridium,Ir,molecular_formula
Platinum-Group Metals Rhodium,Rhodium,Rh,molecular_formula
Platinum-Group Metals Ruthenium,Ruthenium,Ru,molecular_formula
Potash All,Potassium Oxide,K2O,molecular_formula
Potash Muriate,Potassium Chloride,ClK,molecular_formula
"Pumice and Pumicite ",Pumice,C28FH37O7,material_name
Quartz Crystal (Industrial) Cultured,Quartz,O2Si,material_name
Quartz Crystal (Industrial) Lumbered,Quartz,O2Si,material_name
Rare Earths CeO2,,CeO2,molecular_formula
Rare Earths Dy2O3,,Dy2O3,molecular_formula
Rare Earths Eu2O3,,Eu2O3,molecular_formula
Rare Earths La2O3,,La2O3,molecular_formula
Rare Earths Mischmetal,Mischmetal,C3CeH8LaNd,material_name
Rare Earths Nd2O3,,Nd2O3,molecular_formula
Rare Earths TbO2,,TbO2,molecular_formula
Rhenium Metal,Rhenium,Re,molecular_formula
Rhenium NH4ReO4,Rhenium,Re,molecular_formula
Salt Vacuum,Sodium Chloride,ClNa,molecular_formula
Salt Solar,Sodium Chloride,ClNa,molecular_formula
Salt Rock,Sodium Chloride,ClNa,molecular_formula
Salt Brine,Sodium Chloride,ClNa,molecular_formula
"Sand and Gravel (Construction) ",Gravel,C15H21NO,material_name
"Sand and Gravel (Industrial) ",Gravel,C15H21NO,material_name
Scandium Cmpds_Acetate,Scandium Acetate,C6H12O6Sc,molecular_formula
Scandium Cmpds_Chloride,Scandium Chloride,Cl3Sc,molecular_formula
