original_name,material_name,molecular_formula
Aluminum Ingot,Aluminum,
Antimony Metal,Antimony,
Arsenic Mtl-CN,Arsenic,
Arsenic Triox-CN,Arsenic Trioxide,
Arsenic Triox-MA,Arsenic Trioxide,
Asbestos Customs,Asbestos,
"Barite ",Barite,
Bauxite and Alumina Bauxite,Bauxite,
Bauxite and Alumina Alumina,Alumina,
Beryllium Alloy,Beryllium,
"Bismuth ",Bismuth,
Boron CIF,Boron,
Bromine Imports,Bromine,
Cadmium Metal,Cadmium,
Cement Avg,Cement,
Chromium Ore,Chromite,
Chromium Ferrrochromium,Ferrrochromium,
Chromium Metal,Chromium,
Clays Ball,Ball Clay,
Clays Bentonite,Bentonite,
Clays Common,Common Clay,
Clays Fire,Fire Clay,
Clays Fullers,Fullers Clay,
Clays Kaolin,Kaolin Clay,
Cobalt Spot,Cobalt,
Cobalt LME,Cobalt,
Copper US,Copper,
Copper COMEX,Copper,
Copper LME,Copper,
Diamond (Industrial) Bort_Imports,Diamond,
Diamond (Industrial) Stones_Imports,Diamond,
"Diatomite ",Diatomite,
Feldspar and Nepheline Syenite Feldspar,Feldspar,
Feldspar and Nepheline Syenite Nepheline_syenite,Syenite,
"Iron Ore ",Iron Ore,
"Iron Oxide Pigments ",Iron Oxide,
"Iron and Steel Scrap ",Iron,
"Iron and Steel Slag ",Iron,
"Iron and Steel ",Iron,
Fluorspar Acid,Fluorspar,
Fluorspar Metallurgical,Fluorspar,
Gallium High-purity,Gallium,
Gallium Low-purity,Gallium,
Garnet (Industrial) Import,Gallium,
Germanium Metal,Germanium,
Germanium GeO2,Germanium dioxide,
"Gold ",Gold,
Graphite (Natural) Flake,Graphite,
Graphite (Natural) Lump,Graphite,
Graphite (Natural) Amorphous,Graphite,
Gypsum Mine,Gypsum,
Gypsum Plant,Gypsum,
Indium NY,Indium,
Indium FOB,Indium,
Indium Rotterdam,Indium,
Iodine Crude_CIF,Iodine,
Kyanite and Related Minerals FOB,kyanite,
Lead North_American,Lead,
Lead LME,Lead,
Lime Quicklime,Lime,
Lime Hydrated,Lime,
"Lithium ",Lithium Carbonate,
Manganese CN_CIF,Manganese,
Mercury EU,Mercury,
Mercury Global,Mercury,
Magnesium Metal US_spot,Magnesium,
Magnesium Metal European,Magnesium,
"Molybdenum ",Molybdenum,
"Nickel ",Nickel,
"Niobium (Columbium) ","Niobium ",
"Nitrogen (Fixed)--Ammonia ",Ammonia,
"Peat ",Peat,
Perlite FOB,Perlite,
"Phosphate Rock ",phosphorite,
Platinum-Group Metals Palladium,Palladium,
Platinum-Group Metals Platinum,Platinum,
Platinum-Group Metals Iridium,Iridium,
Platinum-Group Metals Rhodium,Rhodium,
Platinum-Group Metals Ruthenium,Ruthenium,
Potash All,Potassium oxide,
Potash Muriate,Potassium chloride,
"Pumice and Pumicite ",Pumice,
Quartz Crystal (Industrial) Cultured,Quartz,
Quartz Crystal (Industrial) Lumbered,Quartz,
Rare Earths CeO2,,CeO2
Rare Earths Dy2O3,,Dy2O3
Rare Earths Eu2O3,,Eu2O3
Rare Earths La2O3,,La2O3
Rare Earths Mischmetal,Mischmetal,
Rare Earths Nd2O3,,Nd2O3
Rare Earths TbO2,,TbO2
Rhenium Metal,Rhenium,
Rhenium NH4ReO4,Rhenium,
Salt Vacuum,Sodium Chloride,
Salt Solar,Sodium Chloride,
Salt Rock,Sodium Chloride,
Salt Brine,Sodium Chloride,
"Sand and Gravel (Construction) ",Gravel,
"Sand and Gravel (Industrial) ",Gravel,
Scandium Cmpds_Acetate,Scandium Acetate,
Scandium Cmpds_Chloride,Scandium Chloride,
Scandium Cmpds_Fluoride,Scandium Fluoride,
Scandium Cmpds_Iodide,Scandium Iodide,
Scandium Cmpds_Oxide,Scandium Oxide,
Scandium Mtl_Dendritic,Scandium,
Scandium Mtl_Ingot,Scandium,
Scandium Mtl_Alloy,Scandium Aluminum Alloy,
"Selenium ",Selenium,
Silver Bullion,Silver,
Silicon FeSi2_50,Ferrosilicon,
Silicon FeSi2_75,Ferrosilicon,
Silicon Si,Silicon,
"Soda Ash ",Soda Ash,
Stone (Crushed) Average,Stone,
Stone (Dimension) Average,Stone,
Stone (Dimension) Granite,Granite,
"Strontium ",celestite,
Sulfur Sulfur,Sulfur,
"Talc and Pyrophyllite  ",Talc,
Tantalum Ta2O5,Tantalum pentoxide,
"Tellurium ",Tellurium,
Thallium Metal,Thallium,
"Thorium ",Thorium,
Titanium Mineral Concentrates Rutile,Titanium dioxide,
Titanium Mineral Concentrates Ilmente_Leucoxene,Ilmenite,
Titanium Mineral Concentrates Ilmenite,Ilmenite,
Titanium Mineral Concentrates Slag,Titanium dioxide,
Tin NY,Tin,
Tin LME,Tin,
Titanium and Titanium Dioxide Sponge,Titanium,
Titanium and Titanium Dioxide Dioxide,Titanium dioxide,
Tungsten WO3,tungsten trioxide,
Vermiculite Range,Vermiculite,
Yttrium Y2O3,Yttrium oxide,
Yttrium Metal,Yttrium,
Zeolites (Natural) Range,zeolite,
"Zinc ",Zinc,
Zinc LME,Zinc,
Zirconium and Hafnium Zircon_AU,Zirconium silicate,
Zirconium and Hafnium Zircon_CN,Zirconium silicate,
Zirconium and Hafnium Zircon_import,Zirconium silicate,
Zirconium and Hafnium Zr_CN,Zirconium,
Zirconium and Hafnium Hf_unwrought,Hafnium,
