,Commodity,price_info,full_name,price,price_units,Year,price_desc
0,Aluminum,Ingot,Aluminum Ingot,98.3,ctslb,2017,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
1,Aluminum,Ingot,Aluminum Ingot,114.7,ctslb,2018,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
2,Aluminum,Ingot,Aluminum Ingot,99.5,ctslb,2019,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
3,Aluminum,Ingot,Aluminum Ingot,89.7,ctslb,2020,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
4,Aluminum,Ingot,Aluminum Ingot,140.0,ctslb,2021,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
5,Antimony,Metal,Antimony Metal,3.77,dlb,2017,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
6,Antimony,Metal,Antimony Metal,3.81,dlb,2018,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
7,Antimony,Metal,Antimony Metal,3.04,dlb,2019,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
8,Antimony,Metal,Antimony Metal,2.67,dlb,2020,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
9,Antimony,Metal,Antimony Metal,5.2,dlb,2021,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
10,Arsenic,Mtl-CN,Arsenic Mtl-CN,1.56,dkg,2017,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
11,Arsenic,Mtl-CN,Arsenic Mtl-CN,1.43,dkg,2018,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
12,Arsenic,Mtl-CN,Arsenic Mtl-CN,1.93,dkg,2019,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
13,Arsenic,Mtl-CN,Arsenic Mtl-CN,1.51,dkg,2020,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
14,Arsenic,Mtl-CN,Arsenic Mtl-CN,1.28,dkg,2021,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
15,Arsenic,Triox-CN,Arsenic Triox-CN,0.45,dkg,2017,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
16,Arsenic,Triox-CN,Arsenic Triox-CN,0.44,dkg,2018,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
17,Arsenic,Triox-CN,Arsenic Triox-CN,0.46,dkg,2019,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
18,Arsenic,Triox-CN,Arsenic Triox-CN,0.43,dkg,2020,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
