index,original_name,specific_price
Ag,Silver Bullion,608.4850295578531
Al,Aluminum Ingot,2.3906927711328128
Al2O3,Bauxite and Alumina Alumina,0.5335186744874038
AlSc,Scandium Mtl_Alloy,340.0
As,Arsenic Mtl-CN,1.542
As2O3,"Arsenic Triox-CN, Arsenic Triox-MA",0.609
Asbestos,Asbestos Customs,2.0326620573445715
Au,Gold ,48238.98015156943
B,Boron CIF,0.42747632637647764
Barite,Barite ,0.1977546491798352
Bauxite,Bauxite and Alumina Bauxite,0.033510263852101395
Be,Beryllium Alloy,616.0
Bi,Bismuth ,8.421658415462323
Br,Bromine Imports,2.442
C6H12O6Sc,Scandium Cmpds_Acetate,44200.0
CLi2O3,Lithium ,15.366219674285968
CNa2O3,Soda Ash ,0.15747619387865805
CaF2,"Fluorspar Acid, Fluorspar Metallurgical",0.2847270116117694
CaO,"Lime Hydrated, Lime Quicklime",0.15609830474000258
CaO4S,"Gypsum Mine, Gypsum Plant",0.019841603596638984
Cd,Cadmium Metal,2.418
CeO2,Rare Earths CeO2,2.0
Celestite,Strontium ,0.08928721618487542
Cement,Cement Avg,0.13448197993277533
Cl3Sc,Scandium Cmpds_Chloride,129600.0
ClK,Potash Muriate,0.5136770708907648
ClNa,"Salt Rock, Salt Vacuum, Salt Brine, Salt Solar",0.11086936934146402
Clay,"Clays Fire, Clays Ball, Clays Fullers, Clays Common, Clays Bentonite, Clays Kaolin",0.07929292696582764
Co,"Cobalt LME, Cobalt Spot",50.56522445472352
Cr,Chromium Metal,10.327113747526221
CrFeO4,Chromium Ore,0.25904315806723116
Cu,"Copper LME, Copper US, Copper COMEX",6.868575265790589
Diamond,"Diamond (Industrial) Stones_Imports, Diamond (Industrial) Bort_Imports",21410.0
Diatomite,Diatomite ,0.3725812230924431
Dy2O3,Rare Earths Dy2O3,253.2
Eu2O3,Rare Earths Eu2O3,45.4
F3Sc,Scandium Cmpds_Fluoride,224400.0
Fe,"Iron and Steel Slag , Iron and Steel Scrap ",0.180117668205045
FeCr,Chromium Ferrrochromium,2.5282612227361763
FeH6O3Ti,"Titanium Mineral Concentrates Ilmente_Leucoxene, Titanium Mineral Concentrates Ilmenite",0.3802974022689138
FeSi2,"Silicon FeSi2_75, Silicon FeSi2_50",2.260730267574827
Feldspar,Feldspar and Nepheline Syenite Feldspar,0.10670373489748075
Ga,"Gallium High-purity, Gallium Low-purity, Garnet (Industrial) Import",236.69626852115405
Ge,Germanium Metal,1221.4
GeO2,Germanium GeO2,844.4
Graphite,"Graphite (Natural) Flake, Graphite (Natural) Lump, Graphite (Natural) Amorphous",1.601658334773136
Gravel,"Sand and Gravel (Industrial) , Sand and Gravel (Construction) ",0.029180385022790398
H3N,Nitrogen (Fixed)--Ammonia ,0.32915015744202225
Hf,Zirconium and Hafnium Hf_unwrought,0.9038952749579982
Hg,"Mercury EU, Mercury Global",47.111014408664545
I2,Iodine Crude_CIF,26.392000000000003
I3Sc,Scandium Cmpds_Iodide,165400.0
In,"Indium NY, Indium FOB, Indium Rotterdam",265.9166666666667
Ir,Platinum-Group Metals Iridium,2.3635604805257198
Iron Ore,Iron Ore ,0.0991529024176487
Iron Oxide Pigment,Iron Oxide Pigments ,1.03
K2O,Potash All,0.9193276333109396
La2O3,Rare Earths La2O3,2.0
Metallurgical Silicon,Silicon Si,2.6157847408235724
Mg,"Magnesium Metal European, Magnesium Metal US_spot",1.6702441445388512
Mischmetal,Rare Earths Mischmetal,5.8
Mn,Manganese CN_CIF,0.006294197585378255
Mo,Molybdenum ,25.5
Nb,Niobium (Columbium) ,21.0
Nd2O3,Rare Earths Nd2O3,48.6
Ni,Nickel ,7.630587238493453
O2Ti,"Titanium Mineral Concentrates Slag, Titanium Mineral Concentrates Rutile, Titanium and Titanium Dioxide Dioxide",1.6847726076168346
O3Sc2,Scandium Cmpds_Oxide,3819.9999999999995
O3W,Tungsten WO3,0.30445838407731596
O3Y2,Yttrium Y2O3,3.4
O4SiZr,"Zirconium and Hafnium Zircon_AU, Zirconium and Hafnium Zircon_import, Zirconium and Hafnium Zircon_CN",428.6574376489916
O5Ta2,Tantalum Ta2O5,176.8
Pb,"Lead North_American, Lead LME",2.2182912821042384
Pd,Platinum-Group Metals Palladium,1.821086628948366
Peat,Peat ,0.02816625861673996
Perlite,Perlite FOB,0.07231162199663985
Phosphorite,Phosphate Rock ,0.08008953060652232
Pt,Platinum-Group Metals Platinum,1.0553197797396814
Pumice,Pumice and Pumicite ,0.035714886473950165
Quartz,"Quartz Crystal (Industrial) Cultured, Quartz Crystal (Industrial) Lumbered",328.0
Re,"Rhenium NH4ReO4, Rhenium Metal",1268.0
Rh,Platinum-Group Metals Rhodium,9.361209052083481
Ru,Platinum-Group Metals Ruthenium,0.3010831068432655
S,Sulfur Sulfur,0.06461748904638763
Sb,Antimony Metal,8.152694455596773
Sc,"Scandium Mtl_Dendritic, Scandium Mtl_Ingot",182500.0
Se,Selenium ,24.762321288605452
Sn,"Tin LME, Tin NY",22.24023300921045
Stone,Stone (Crushed) Average,0.013267418938285933
Syenite,Feldspar and Nepheline Syenite Nepheline_syenite,0.13800937612773337
Talc,Talc and Pyrophyllite  ,0.26808211081681116
TbO2,Rare Earths TbO2,686.6
Te,Tellurium ,59.2
Th,Thorium ,72.33333333333333
Ti,Titanium and Titanium Dioxide Sponge,11.26
Tl,Thallium Metal,8066.666666666667
Y,Yttrium Metal,35.4
Zn,"Zinc , Zinc LME",2.818389559771475
Zr,Zirconium and Hafnium Zr_CN,10.6
kyanite,Kyanite and Related Minerals FOB,0.39528883609748555
