original_name,commodity,extra_info,price_units,price_desc,price,specific_price,material_name,molecular_formula,index_use,pubchem_formula,index
Aluminum Ingot,Aluminum,Ingot,cents/lb,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year.",108.44000000000001,2.3906927711328128,Aluminum,,pubchem_formula,Al,Al
Antimony Metal,Antimony,Metal,USD/lb,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year.",3.6980000000000004,8.152694455596773,Antimony,,pubchem_formula,Sb,Sb
Arsenic Mtl-CN,Arsenic,Mtl-CN,USD/kg,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year.",1.542,1.542,Arsenic,,pubchem_formula,As,As
Arsenic Triox-CN,Arsenic,Triox-CN,USD/kg,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year.",0.442,0.442,Arsenic Trioxide,,pubchem_formula,As2O3,As2O3
Arsenic Triox-MA,Arsenic,Triox-MA,USD/kg,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (Morocco). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year.",0.776,0.776,Arsenic Trioxide,,pubchem_formula,As2O3,As2O3
Asbestos Customs,Asbestos,Customs,USD/ton,"Price: Average U.S. customs unit value, dollars per ton. Data are estimated for the most recent year.",1844.0,2.0326620573445715,Asbestos,,material_name,,Asbestos
Barite ,Barite,,USD/ton,"Price: Average value, ground, ex-works, dollars per ton. Data are estimated for the most recent year.",179.4,0.1977546491798352,Barite,,material_name,BaO4S,Barite
Bauxite and Alumina Alumina,Bauxite and Alumina,Alumina,USD/ton,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year.",484.0,0.5335186744874038,Alumina,,pubchem_formula,Al2O3,Al2O3
Bauxite and Alumina Bauxite,Bauxite and Alumina,Bauxite,USD/ton,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year.",30.4,0.033510263852101395,Bauxite,,material_name,AlHO2,Bauxite
Beryllium Alloy,Beryllium,Alloy,USD/kg,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year.",616.0,616.0,Beryllium,,pubchem_formula,Be,Be
