Z,Symbol,Name,cost
1,H,Hydrogen,1.39
2,He,Helium,24.0
3,Li,Lithium,83.5
4,Be,Beryllium,857.0
5,B,Boron,3.68
6,C,Carbon,0.122
7,N,Nitrogen,0.14
8,O,Oxygen,0.154
9,F,Fluorine,2.0
10,Ne,Neon,240.0
11,Na,Sodium,3.0
12,Mg,Magnesium,2.32
13,Al,Aluminium,1.79
14,Si,Silicon,1.7
15,P,Phosphorus,2.69
16,S,Sulfur,0.0926
17,Cl,Chlorine,0.082
18,Ar,Argon,0.931
19,K,Potassium,12.85
20,Ca,Calcium,2.2800000000000002
21,Sc,Scandium,3460.0
22,Ti,Titanium,11.399999999999999
23,V,Vanadium,371.0
24,Cr,Chromium,9.4
25,Mn,Manganese,1.82
26,Fe,Iron,0.424
27,Co,Cobalt,32.8
28,Ni,Nickel,13.9
29,Cu,Copper,6.0
30,Zn,Zinc,2.55
31,Ga,Gallium,148.0
32,Ge,Germanium,962.0
33,As,Arsenic,1.1545
34,Se,Selenium,21.4
35,Br,Bromine,4.39
36,Kr,Krypton,290.0
37,Rb,Rubidium,15500.0
38,Sr,Strontium,6.605
39,Y,Yttrium,31.0
40,Zr,Zirconium,36.400000000000006
41,Nb,Niobium,73.5
42,Mo,Molybdenum,40.1
43,Tc,Technetium,100000.0
44,Ru,Ruthenium,10500.0
45,Rh,Rhodium,147000.0
46,Pd,Palladium,49500.0
47,Ag,Silver,521.0
48,Cd,Cadmium,2.73
49,In,Indium,167.0
50,Sn,Tin,18.7
51,Sb,Antimony,5.79
52,Te,Tellurium,63.5
53,I,Iodine,35.0
54,Xe,Xenon,1800.0
55,Cs,Caesium,61800.0
56,Ba,Barium,0.2605
57,La,Lanthanum,4.85
58,Ce,Cerium,4.640000000000001
59,Pr,Praseodymium,103.0
60,Nd,Neodymium,57.5
62,Sm,Samarium,13.9
63,Eu,Europium,31.4
64,Gd,Gadolinium,28.6
65,Tb,Terbium,658.0
66,Dy,Dysprosium,307.0
67,Ho,Holmium,57.1
68,Er,Erbium,26.4
69,Tm,Thulium,3000.0
70,Yb,Ytterbium,17.1
71,Lu,Lutetium,643.0
72,Hf,Hafnium,900.0
73,Ta,Tantalum,305.0
74,W,Tungsten,35.3
75,Re,Rhenium,3580.0
76,Os,Osmium,12000.0
77,Ir,Iridium,55850.0
78,Pt,Platinum,27800.0
79,Au,Gold,44800.0
80,Hg,Mercury,30.2
81,Tl,Thallium,4200.0
82,Pb,Lead,2.0
83,Bi,Bismuth,6.36
