SM_name,SM_type,specific_energy,mu_total,specific_price,price_sources,SM_sources,C_kwh
Synthetic CH4 (Sabatier),synfuel,15.4,16.043,0.095,Calculation,TODO,0.006168831168831169
Synthetic H2,synfuel,39.4,2.016,0.009,Calculation,TODO,0.00022842639593908628
Synthetic H2 (Cavern),synfuel,39.4,2.016,0.36,Ahluwalia,TODO,0.009137055837563452
Synthetic NH3 (Haber-Bosch),synfuel,6.25,17.031,0.0592,Calculation,TODO,0.009472000000000001
Ba(OH)2/BaO,thermochemical,0.1515194444444444,171.341,0.45,"Alibaba (Bulk), Alibaba (Manual)",Andre 2016,2.9699158523841835
BaCO3/BaO,thermochemical,0.2323888888888889,197.335,0.3295454545454545,Alibaba (Manual),Andre 2016,1.4180774998370023
BaO2/BaO,thermochemical,0.1201666666666666,153.326,0.3,Alibaba (Manual),Andre 2016,2.4965325936199734
Be(OH)2/BeO,thermochemical,0.3308333333333333,,,,Andre 2016,
Ca(OH)2/CaO,thermochemical,0.3755555555555555,,,,Andre 2016,
CaCO3/CaO,thermochemical,0.4602222222222222,100.086,1.1525,"Alibaba (Bulk), Alva 2018, Chem Central, Echemi",Andre 2016,2.5042250120714633
Cd(OH)2/CdO,thermochemical,0.1137222222222222,163.435,6.715,"Alibaba (Bulk), Alibaba (Manual), Li 2017",Andre 2016,59.04738641914999
CdCO3/CdO,thermochemical,0.1555833333333333,172.422,0.5,"Alibaba (Bulk), Alibaba (Manual)",Andre 2016,3.2137118371719344
CdSO4/CdO,thermochemical,0.4723611111111111,,,,Andre 2016,
Co3O4/CoO,thermochemical,0.2266944444444444,240.795582,17.18,"Alibaba (Bulk), ISE",Andre 2016,75.78483029040561
CoSO4/CoO,thermochemical,0.5906388888888889,154.989194,7.6858,"Alibaba (Bulk), ISE",Andre 2016,13.012688708084466
Cr5O12/Cr2O3,thermochemical,0.0775277777777777,151.9892,1.5,"Alibaba (Bulk), Alibaba (Manual)",Andre 2016,19.347903977069173
CuO/Cu2O,thermochemical,0.2250555555555555,79.545,17.8,Alibaba (Manual),Andre 2016,79.09158232535178
CuSO4/CuO,thermochemical,0.52275,159.602,1.2303125,"Alibaba (Bulk), Alibaba (Manual)",Andre 2016,2.353538976566236
Fe2O3/Fe3O4,thermochemical,0.1348888888888889,159.687,0.122,"Alibaba (Bulk), Olympios 2021, USGS",Andre 2016,0.9044481054365733
FeSO4/FeO,thermochemical,0.6332722222222222,151.901,0.1021571428571428,"Alibaba (Bulk), Alibaba (Manual)",Andre 2016,0.16131631748928144
Li2O2/Li2O,thermochemical,0.2071944444444444,,,,Andre 2016,
Mg(OH)2/MgO,thermochemical,0.3702777777777777,58.319,0.73375,Alibaba (Manual),Andre 2016,1.9816204051012758
MgCO3/MgO,thermochemical,0.3261111111111111,84.313,0.9694715,"Alibaba (Bulk), Alibaba (Manual)",Andre 2016,2.9728257240204434
MgO2/MgO,thermochemical,0.1057222222222222,40.304,0.1125,"Alibaba (Bulk), Alibaba (Manual)",Andre 2016,1.064109301103521
MgSO4/MgO,thermochemical,0.8048611111111111,120.361,6.906071428571428,"Alibaba (Bulk), Alva 2018",Andre 2016,8.580451127819547
Mn(OH)2/MnO,thermochemical,0.2094444444444444,,,,Andre 2016,
Mn2O3/Mn3O4,thermochemical,0.0528055555555555,,,,Andre 2016,
Mn3O4/MnO,thermochemical,0.2362777777777777,86.936043,1.562125,"Alibaba (Bulk), Alibaba (Manual), ISE, Li 2017",Andre 2016,6.611391958617449
MnSO4/MnO,thermochemical,0.65825,150.994043,0.66875,"Alibaba (Bulk), ISE",Andre 2016,1.0159513862514242
Ni(OH)2/NiO,thermochemical,0.1433333333333333,92.7074,7.0,"Alibaba (Bulk), Alibaba (Manual), Li 2017",Andre 2016,48.83720930232559
NiSO4/NiO,thermochemical,0.3998333333333334,154.7494,3.362034375,Alibaba (Manual),Andre 2016,8.408589516465193
