SM_name,SM_type,Cp,phase_change_T,sp_latent_heat,mass_density,kth,vol_latent_heat,C_kwh_orig,deltaV,deltaH_thermochem,specific_strength,dielectric_breakdown,dielectric_constant,deltaG_chem,delta_height,specific_capacitance,deltaV_electrolyte,materials,SM_sources,type,original_name,notes
2D TiS2 nanocrystals,pseudocapacitor,,,,,,,,,,,,,,,395.0,1.2,TiS2,Choi 2015,,,
3D Co3O4 nanonetworks,pseudocapacitor,,,,,,,,,,,,,,,797.5,1.5,Co3O4,Choi 2015,,,
3D porous graphene-like carbon,ELDC,,,,,,,,,,,,,,,167.0,2.5,Graphene,Choi 2015,,,
AQDS/Br,flow_battery,,,,,,,57.9,1.0,,,,,,,,,"[('AQDS', 0.5), ('Br2', 0.5)]",Li 2017,Redox flow,,
AS4-3501–6,virial,,,,,,,,,,1077.9384035197988,,,,,,,CFRP,Kale 2018,,,
AS4–8552,virial,,,,,,,,,,1184.844641724794,,,,,,,CFRP,Kale 2018,,,
Al-2024,virial,,,,,,,,,,150.8303249097473,,,,,,,Al,Kale 2018,,,
Al-6061-T6,virial,,,,,,,,,,101.4760147601476,,,,,,,Al,Kale 2018,,,
Al-7075-T6,virial,,,,,,,,,,166.66666666666666,,,,,,,Al,Kale 2018,,,
Al/Mg/Zn (59/33/6),latent_thermal,,443.0,0.0861111111111111,2380.0,,737.8,,,,,,,,,,,"[('Al', 0.59), ('Mg', 0.33), ('Zn', 0.06)]",Alva 2018,,,
Al/Mg/Zn (60/34/6),latent_thermal,,450.3,0.0914166666666666,,,,,,,,,,,,,,"[('Al', 0.6), ('Mg', 0.34), ('Zn', 0.06)]",Alva 2018,,,
Al2O3,dielectric_capacitor,,,,3950.0,,,,,,,500000000.0,10.0,,,,,Al2O3,TODO,,Al2O3 Dielectric Capacitor,"The dielectric breakdown strength is larger for thin films of Aluminum oxide than in bulk samples and is on the order of 500 MV/um.(Hanby et al., 2018; Stellanova, 2012; Talbi et al., 2010) "
Aluminium (Al),latent_thermal,,660.0,0.1102777777777777,,,,,,,,,,,,,,Al,Alok 2021,,,
"Aq-S/air  (Li, H+)",flow_battery,,,,,,,4.6,1.0,,,,,,,,,S,Li 2017,Flow-air,,
"Aq-S/air  (Na, H+)",flow_battery,,,,,,,1.7,1.0,,,,,,,,,S,Li 2017,Flow-air,,
"Aq-S/air  (Na, OH-)",flow_battery,,,,,,,4.0,1.0,,,,,,,,,S,Li 2017,Flow-air,,
"Aq-S/air (Li, OH-)",flow_battery,,,,,,,13.2,1.0,,,,,,,,,S,Li 2017,Flow-air,,
Au-MnO2 core-shell,pseudocapacitor,,,,,,,,,,,,,,,524.0,2.0,"[('Au', 0.5), ('MnO2', 0.5)]",Choi 2015,,,
Ba(OH)2/BaO,thermochemical,,,,,,,,,0.1515194444444444,,,,,,,,Ba(OH)2,Andre 2016,hydroxides,,
Ba/Al,liquid_metal_battery,,,,,,,,0.34,,,,,,,,,"[('Ba', 0.5), ('Al', 0.5)]",Kim 2013,,Ba/Al,
Ba/Bi,liquid_metal_battery,,,,,,,,1.135,,,,,,,,,"[('Ba', 0.5), ('Bi', 0.5)]",Kim 2013,,Ba/Bi,
Ba/Cd,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ba', 0.5), ('Cd', 0.5)]",Kim 2013,,Ba/Cd,
Ba/Ga,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ba', 0.5), ('Ga', 0.5)]",Kim 2013,,Ba/Ga,
Ba/Hg,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ba', 0.5), ('Hg', 0.5)]",Kim 2013,,Ba/Hg,
Ba/In,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ba', 0.5), ('In', 0.5)]",Kim 2013,,Ba/In,
Ba/Pb,liquid_metal_battery,,,,,,,,0.8400000000000001,,,,,,,,,"[('Ba', 0.5), ('Pb', 0.5)]",Kim 2013,,Ba/Pb,
Ba/Sb,liquid_metal_battery,,,,,,,,1.275,,,,,,,,,"[('Ba', 0.5), ('Sb', 0.5)]",Kim 2013,,Ba/Sb,
Ba/Sn,liquid_metal_battery,,,,,,,,0.895,,,,,,,,,"[('Ba', 0.5), ('Sn', 0.5)]",Kim 2013,,Ba/Sn,
Ba/Te,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ba', 0.5), ('Te', 0.5)]",Kim 2013,,Ba/Te,
Ba/Tl,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ba', 0.5), ('Tl', 0.5)]",Kim 2013,,Ba/Tl,
Ba/Zn,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ba', 0.5), ('Zn', 0.5)]",Kim 2013,,Ba/Zn,
BaCO3/BaO,thermochemical,,,,,,,,,0.2323888888888889,,,,,,,,BaCO3,Andre 2016,carbonates,,
BaO2/BaO,thermochemical,,,,,,,,,0.1201666666666666,,,,,,,,BaO,Andre 2016,oxides,,
Basalt,sensible_thermal,0.0004083333333333,,,,3.2,,,,,,,,,,,,Stone,Alva 2018,,,
Be(OH)2/BeO,thermochemical,,,,,,,,,0.3308333333333333,,,,,,,,Be(OH)2,Andre 2016,hydroxides,,
Block Stacking,gravitational,,,,,,,,,,,,,,100.0,,,Stone,,,Block Stacking,
Boron (B),latent_thermal,,2350.0,1.2777777777777777,,,,,,,,,,,,,,B,Alok 2021,,,
C6/LCO,integrated_battery,,,,,,,98.3,3.0,,,,,,,,,"[('Graphite', 0.5), ('LCO', 0.5)]",Li 2017,Li ion  (C6 anode),,
C6/LFP,integrated_battery,,,,,,,44.0,3.0,,,,,,,,,"[('Graphite', 0.5), ('LFP', 0.5)]",Li 2017,Li ion  (C6 anode),,
C6/LMNO,integrated_battery,,,,,,,51.3,3.0,,,,,,,,,"[('Graphite', 0.5), ('LMNO', 0.5)]",Li 2017,Li ion  (C6 anode),,
C6/LMO,integrated_battery,,,,,,,45.6,3.0,,,,,,,,,"[('Graphite', 0.5), ('LMO', 0.5)]",Li 2017,Li ion  (C6 anode),,
C6/LMP,integrated_battery,,,,,,,36.3,3.0,,,,,,,,,"[('Graphite', 0.5), ('LMP', 0.5)]",Li 2017,Li ion  (C6 anode),,
C6/LRMO LMNO,integrated_battery,,,,,,,35.6,3.0,,,,,,,,,"[('Graphite', 0.5), ('LRMO LMNO', 0.5)]",Li 2017,Li ion  (C6 anode),,
C6/NCA,integrated_battery,,,,,,,68.3,3.0,,,,,,,,,"[('Graphite', 0.5), ('NCA', 0.5)]",Li 2017,Li ion  (C6 anode),,
C6/NCM111,integrated_battery,,,,,,,51.3,3.0,,,,,,,,,"[('Graphite', 0.5), ('NCM111', 0.5)]",Li 2017,Li ion  (C6 anode),,
C6/NCM622,integrated_battery,,,,,,,47.1,3.0,,,,,,,,,"[('Graphite', 0.5), ('NCM622', 0.5)]",Li 2017,Li ion  (C6 anode),,
Ca(OH)2/CaO,thermochemical,,,,,,,,,0.3755555555555555,,,,,,,,Ca(OH)2,Andre 2016,hydroxides,,
Ca/Al,liquid_metal_battery,,,,,,,,0.425,,,,,,,,,"[('Ca', 0.5), ('Al', 0.5)]",Kim 2013,,Ca/Al,
Ca/Bi,liquid_metal_battery,,,,,,,,0.845,,,,,,,,,"[('Ca', 0.5), ('Bi', 0.5)]",Kim 2013,,Ca/Bi,
Ca/Cd,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ca', 0.5), ('Cd', 0.5)]",Kim 2013,,Ca/Cd,
Ca/Ga,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ca', 0.5), ('Ga', 0.5)]",Kim 2013,,Ca/Ga,
Ca/Hg,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ca', 0.5), ('Hg', 0.5)]",Kim 2013,,Ca/Hg,
Ca/In,liquid_metal_battery,,,,,,,,0.48,,,,,,,,,"[('Ca', 0.5), ('In', 0.5)]",Kim 2013,,Ca/In,
Ca/Pb,liquid_metal_battery,,,,,,,,0.595,,,,,,,,,"[('Ca', 0.5), ('Pb', 0.5)]",Kim 2013,,Ca/Pb,
Ca/Sb,liquid_metal_battery,,,,,,,,0.99,,,,,,,,,"[('Ca', 0.5), ('Sb', 0.5)]",Kim 2013,,Ca/Sb,
Ca/Sn,liquid_metal_battery,,,,,,,,0.64,,,,,,,,,"[('Ca', 0.5), ('Sn', 0.5)]",Kim 2013,,Ca/Sn,
Ca/Te,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ca', 0.5), ('Te', 0.5)]",Kim 2013,,Ca/Te,
Ca/Tl,liquid_metal_battery,,,,,,,,,,,,,,,,,"[('Ca', 0.5), ('Tl', 0.5)]",Kim 2013,,Ca/Tl,
Ca/Zn,liquid_metal_battery,,,,,,,,0.305,,,,,,,,,"[('Ca', 0.5), ('Zn', 0.5)]",Kim 2013,,Ca/Zn,
CaCO3,latent_thermal,,1330.0,0.0394444444444444,2930.0,,416.1,,,,,,,,,,,CaCO3,"Alok 2021, Alva 2018",,,
CaCO3/CaO,thermochemical,,,,,,,,,0.4602222222222222,,,,,,,,CaCO3,Andre 2016,carbonates,,
CaCl2,latent_thermal,,772.0,0.0702777777777777,2150.0,,544.0,,,,,,,,,,,CaCl2,"Alok 2021, Alva 2018",,,
CaF2,latent_thermal,,1418.0,0.10722222222222219,3180.0,,1243.4,,,,,,,,,,,CaF2,"Alok 2021, Alva 2018",,,
CaSO4,latent_thermal,,1460.0,0.0563888888888888,2320.0,,471.0,,,,,,,,,,,CaSO4,Alva 2018,,,
Carbon nanosheets,ELDC,,,,,,,,,,,,,,,198.5,3.5,Graphite,Choi 2015,,,
Carbon-Steel-1020,virial,,,,,,,,,,54.79591836734694,,,,,,,Steel,Kale 2018,,,
Carbonization of carbon hydrates,ELDC,,,,,,,,,,,,,,,140.0,0.8,Graphite,Choi 2015,,,
Carbonized hollow nanocarbon,ELDC,,,,,,,,,,,,,,,171.5,0.9,Graphite,Choi 2015,,,
Cd(OH)2/CdO,thermochemical,,,,,,,,,0.1137222222222222,,,,,,,,Cd(OH)2,Andre 2016,hydroxides,,
CdCO3/CdO,thermochemical,,,,,,,,,0.1555833333333333,,,,,,,,CdCO3,Andre 2016,carbonates,,
CdSO4/CdO,thermochemical,,,,,,,,,0.4723611111111111,,,,,,,,CdSO4,Andre 2016,sulfates,,
Chromium (Cr),latent_thermal,,2180.0,0.1111111111111111,,,,,,,,,,,,,,Cr,Alok 2021,,,
Co3O4 nanostructures,pseudocapacitor,,,,,,,,,,,,,,,313.0,0.8,Co3O4,Choi 2015,,,
Co3O4/CoO,thermochemical,,,,,,,,,0.2266944444444444,,,,,,,,Co3O4,Andre 2016,oxides,,
CoAl/PEDOT nanoarrays,pseudocapacitor,,,,,,,,,,,,,,,548.0,0.6,"[('Co', 0.25), ('Al', 0.25), ('PEDOT', 0.5)]",Choi 2015,,,
CoCl2 nanostructures,pseudocapacitor,,,,,,,,,,,,,,,1962.0,0.45,CoCl2,Choi 2015,,,
CoO/PPy nanowires,pseudocapacitor,,,,,,,,,,,,,,,1435.0,1.6,"[('CoO', 0.5), ('PPy', 0.5)]",Choi 2015,,,
CoSO4/CoO,thermochemical,,,,,,,,,0.5906388888888889,,,,,,,,CoSO4,Andre 2016,sulfates,,
Copper (Cu),latent_thermal,,1356.0,0.0536111111111111,,,,,,,,,,,,,,Cu,Alok 2021,,,
Cr5O12/Cr2O3,thermochemical,,,,,,,,,0.0775277777777777,,,,,,,,Cr2O3,Andre 2016,oxides,,
Cu/Cu,flow_battery,,,,,,,53.0,1.0,,,,,,,,,Cr,Li 2017,Redox flow,,
Cu/P/Si (83/10/7),latent_thermal,,840.0,0.0255555555555555,6880.0,,633.0,,,,,,,,,,,"[('Cu', 0.83), ('P', 0.1), ('Metallurgical Silicon', 0.07)]",Alva 2018,,,
Cu/Si (80/20),latent_thermal,,803.0,0.0547222222222222,6600.0,,1300.2,,,,,,,,,,,"[('Cu', 0.8), ('Metallurgical Silicon', 0.2)]",Alva 2018,,,
CuO nanowires,pseudocapacitor,,,,,,,,,,,,,,,110.0,0.45,CuO,Choi 2015,,,
CuO/Cu2O,thermochemical,,,,,,,,,0.2250555555555555,,,,,,,,CuO,Andre 2016,oxides,,
CuSO4/CuO,thermochemical,,,,,,,,,0.52275,,,,,,,,CuSO4,Andre 2016,sulfates,,
Dowtherm A,sensible_thermal,0.0004527777777777,,,,0.1083,,,,,,,,,,,,Dowtherm,Alva 2018,,,
E-Glass Epoxy,virial,,,,,,,,,,398.60308285163774,,,,,,,GRE,Kale 2018,,,
Fe/Fe,flow_battery,,,,,,,15.5,1.0,,,,,,,,,Fe,Li 2017,Redox flow,,
Fe2O3/Fe3O4,thermochemical,,,,,,,,,0.1348888888888889,,,,,,,,Iron Ore,Andre 2016,oxides,,
FeSO4/FeO,thermochemical,,,,,,,,,0.6332722222222222,,,,,,,,FeSO4,Andre 2016,sulfates,,
GO-activate carbon,ELDC,,,,,,,,,,,,,,,122.5,3.5,Graphene Oxide,Choi 2015,,,
Granite,sensible_thermal,0.0002499999999999,,,,2.8,,,,,,,,,,,,Stone,Alva 2018,,,
Graphene-coated CNTs,ELDC,,,,,,,,,,,,,,,95.0,3.0,"[('Graphene', 0.5), ('CNT', 0.5)]",Choi 2015,,,
Graphene/CNF,ELDC,,,,,,,,,,,,,,,174.0,1.5,"[('Graphene', 0.5), ('Graphite', 0.5)]",Choi 2015,,,
Graphene/CNT,ELDC,,,,,,,,,,,,,,,199.0,4.0,"[('Graphene', 0.5), ('CNT', 0.5)]",Choi 2015,,,
Graphene/CNT composite fibers,ELDC,,,,,,,,,,,,,,,20.5,0.8,"[('Graphene', 0.5), ('CNT', 0.5)]",Choi 2015,,,
Graphene/carbon,ELDC,,,,,,,,,,,,,,,175.0,3.5,"[('Graphene', 0.5), ('Graphite', 0.5)]",Choi 2015,,,
"HITEC XL, NaNO3e KNO3eCa(NO3)2",sensible_thermal,0.0004019444444444,,,,0.519,,,,,,,,,,,,HITEC,Alva 2018,,,
"HITEC, NaNO3eKNO3e NaNO2",sensible_thermal,0.0004336111111111,,,,0.6,,,,,,,,,,,,HITEC,Alva 2018,,,
Halogen-containing nanoporous carbon,ELDC,,,,,,,,,,,,,,,211.5,1.0,Graphite,Choi 2015,,,
Hollow NiCo2S4 nanoplates,pseudocapacitor,,,,,,,,,,,,,,,334.0,0.5,NiCo2S4,Choi 2015,,,
