,year,C_kwh_orig,ancat,type,deltaV,materials,energy_type,source,original_name
Pb acid,1859.0,12.4,Pb/PbO2,Pb acid,1.0,[Pb],electrochemical,Li 2017,
NiCd,1899.0,66.0,Cd(OH)2/Ni(OH)2,NiCd,1.0,"[Cd(OH)2, Ni(OH)2]",electrochemical,Li 2017,
NiMH,1978.0,82.8,LaNi5/Ni(OH)2,NiMH,1.0,"[LaNi5, Ni(OH)2]",electrochemical,Li 2017,
Zn/air,1878.0,5.8,Zn/O2,Zn2+ based,1.0,"[Zn, Air]",electrochemical,Li 2017,
Zn/NiOOH,1899.0,44.2,Zn/NiOOH,Zn2+ based,1.0,"[Zn, Ni(OH)2]",electrochemical,Li 2017,
Zn/MnO2,1959.0,9.0,Zn/MnO2,Zn2+ based,1.0,"[Zn, MnO2]",electrochemical,Li 2017,
Zn/Br2,1972.0,8.0,Zn/Br2,Zn2+ based,1.0,"[Zn, Br2]",electrochemical,Li 2017,
Zn/Fe,2015.0,9.3,2-/Fe2+ Zn(OH)4,Zn2+ based,1.0,"[Zn(OH)4, Fe]",electrochemical,Li 2017,
Zn/Zn0.25V2O5,2016.0,50.7,Zn/Zn0.25V2O5,Zn2+ based,1.0,"[Zn, Zn0.25V2O5]",electrochemical,Li 2017,
Mg/Ti2S4,2016.0,358.7,Mg/Ti2S4,Mg2+ based,1.0,"[Mg, Ti2S4]",electrochemical,Li 2017,
Li/S,1958.0,13.7,Li/S,Lithium metal,3.0,"[Li, S]",electrochemical,Li 2017,
Li/TiS2,1976.0,192.1,Li/TiS2,Lithium metal,3.0,"[Li, TiS2]",electrochemical,Li 2017,
Li/MoS2,1979.0,35.7,Li/MoS2,Lithium metal,3.0,"[Li, MoS2]",electrochemical,Li 2017,
Li/LCO,1980.0,90.3,Li/LiCoO2,Lithium metal,3.0,"[Li, Lithium Cobaltate]",electrochemical,Li 2017,
Li/air,1996.0,45.5,Li/O2,Lithium metal,3.0,"[Li, Air]",electrochemical,Li 2017,
Na/S,1966.0,1.6,Na/S,High temperature,1.0,"[Na, S]",electrochemical,Li 2017,
Na/NiCl2,1978.0,6.6,Na/NiCl2,High temperature,1.0,"[Na, NiCl2(H2O)6]",electrochemical,Li 2017,
Li/Pb2Sb,2014.0,64.1,Li/Pb2Sb,High temperature,1.0,"[Li, Pb2Sb]",electrochemical,Li 2017,
ICB,1975.0,28.3,Cr2+/Fe3+,Redox flow,1.0,[Cr],electrochemical,Li 2017,
Fe/Fe,1981.0,15.5,Fe0/Fe3+,Redox flow,1.0,[Fe],electrochemical,Li 2017,
PSB,1981.0,7.4,- S22-/Br3,Redox flow,1.0,"[S, Br2]",electrochemical,Li 2017,
VRFB,1986.0,124.4,V2+/V5+,Redox flow,1.0,[V],electrochemical,Li 2017,
