molecular_formula_norm,specific_price,price_type,energy_type,specific_energy,C_kwh
KNa,2.0,reference,Sensible Thermal,0.1236111111111111,16.179775280898877
KNa,9.202773889830963,elemental,Sensible Thermal,0.1236111111111111,74.44940674919431
BeH2O2,179.68525887438062,elemental,Thermochemical,0.3308333333333333,543.1292459679012
C24H20O,0.2023729945164184,elemental,Sensible Thermal,0.2263888888888888,0.8939175217903148
FeO4S,0.2403040137984608,elemental,Thermochemical,0.6332722222222222,0.3794640051559619
C57H104O9,0.835,reference,Sensible Thermal,0.3484722222222222,2.3961737744121168
C57H104O9,0.2693401767636188,elemental,Sensible Thermal,0.3484722222222222,0.7729172071335415
Mg11Si14,1.9509444473881408,elemental,Latent Thermal,0.2102777777777777,9.27793924781679
H2O2Sr,4.821513984576682,elemental,Thermochemical,0.2023055555555555,23.8328303507841
K2O4S,8.25,reference,Latent Thermal,0.0588888888888888,140.0943396226417
K2O4S,5.840087608448885,elemental,Latent Thermal,0.0588888888888888,99.1712990113963
Mg12Zn13,2.491238787666433,elemental,Latent Thermal,0.05,49.82477575332866
HNaO,2.22,reference,Latent Thermal,0.0458333333333333,48.43636363636367
HNaO,1.8210039248450025,elemental,Latent Thermal,0.0458333333333333,39.730994723890994
Na,2.5,reference,Sensible Thermal,0.1805555555555555,13.84615384615385
Na,3.0,elemental,Sensible Thermal,0.1805555555555555,16.61538461538462
MgO2,1.08902353338188,elemental,Thermochemical,0.1057222222222222,10.300800631042483
Fe2O3,0.0991529024176486,USGS/ISE,Thermochemical,0.1348888888888889,0.7350709404932763
Fe2O3,0.3428463055853012,elemental,Thermochemical,0.1348888888888889,2.541694192971755
Cu83P10Si7,5.676404933439782,elemental,Latent Thermal,0.0255555555555555,222.1201930476441
CaF2,11.4,reference,Latent Thermal,0.1086111111111111,104.96163682864452
CaF2,0.2847270116117694,USGS/ISE,Latent Thermal,0.1086111111111111,2.621527472640332
CaF2,2.143731896729188,elemental,Latent Thermal,0.1086111111111111,19.737684982672832
HLiO,165.0,reference,Latent Thermal,0.2425,680.4123711340206
HLiO,13.18125,USGS/ISE,Latent Thermal,0.2425,54.355670103092784
HLiO,24.36025247421389,elemental,Latent Thermal,0.2425,100.45464937820161
CO3Pb,1.5839977844974702,elemental,Thermochemical,0.0872222222222222,18.160484153474187
Zn,6.5,reference,Latent Thermal,0.0313888888888888,207.0796460176997
Zn,2.8183895597714748,USGS/ISE,Latent Thermal,0.0313888888888888,89.78940190422423
Zn,2.55,elemental,Latent Thermal,0.0313888888888888,81.23893805309757
CO3Sr,3.9801865499769686,elemental,Thermochemical,0.3807361111111111,10.453924473729316
Cu5Mg12Zn3,3.827527466388589,elemental,Latent Thermal,0.0705555555555555,54.24842078346036
KN2NaO6,3.1708756725654146,elemental,Sensible Thermal,0.2083333333333333,15.220203228313993
KF,203.0,reference,Latent Thermal,0.13,1561.5384615384614
KF,9.301904099614562,elemental,Latent Thermal,0.13,71.55310845857355
Mg47Si38Zn15,2.1832961211686173,elemental,Latent Thermal,0.0872222222222222,25.0314204974746
Mn2O3,1.3134982014603809,elemental,Thermochemical,0.0528055555555555,24.874242636808923
O5Sb2,4.3963959321824335,elemental,Thermochemical,0.0584444444444444,75.2235045430455
MnO4S,0.7471246945814942,elemental,Thermochemical,0.65825,1.1350166267854072
CLi2O3,59.0,reference,Latent Thermal,0.1413888888888889,417.2888015717092
CLi2O3,13.304609837142984,USGS/ISE,Latent Thermal,0.1413888888888889,94.09940159865371
CLi2O3,15.80550129926375,elemental,Latent Thermal,0.1413888888888889,111.78743551542141
Al30Mg17Zn3,2.049417771133254,elemental,Latent Thermal,0.0914166666666666,22.41842593764728
BiNa3,13.0,reference,Sensible Thermal,0.0194444444444444,668.5714285714301
BiNa3,5.526263292221923,elemental,Sensible Thermal,0.0194444444444444,284.20782645712814
Cl2Mg,27.6,reference,Latent Thermal,0.1255555555555555,219.82300884955762
Cl2Mg,0.6533417362533479,elemental,Latent Thermal,0.1255555555555555,5.203606748920472
K53N100Na47O260,3.5241084438470165,elemental,Sensible Thermal,0.2168055555555555,16.25469621761597
CdO4S,1.533622871396364,elemental,Thermochemical,0.4723611111111111,3.246717046178718
Na2O4S,1.735,reference,Latent Thermal,0.0458333333333333,37.85454545454548
Na2O4S,1.0614438978334522,elemental,Latent Thermal,0.0458333333333333,23.15877595272988
KNO3,7.0,reference,Latent Thermal,0.0738888888888888,94.73684210526328
KNO3,5.061859848885733,elemental,Latent Thermal,0.0738888888888888,68.50637389469422
H2NiO2,20.0,reference,Thermochemical,0.1433333333333333,139.53488372093025
H2NiO2,8.88352161747606,elemental,Thermochemical,0.1433333333333333,61.97805779634461
Cl2Zn,14.0,reference,Latent Thermal,0.0208333333333333,672.000000000001
Cl2Zn,1.2660170237745816,elemental,Latent Thermal,0.0208333333333333,60.76881714118001
CO3Zn,1.4002606310013717,elemental,Thermochemical,0.1513611111111111,9.251125475509154
CMgO3,0.773836537663231,elemental,Thermochemical,0.3261111111111111,2.3729229434306918
Cu,84.0,reference,Latent Thermal,0.0577777777777777,1453.8461538461559
Cu,6.8685752657905885,USGS/ISE,Latent Thermal,0.0577777777777777,118.87918729252958
Cu,6.0,elemental,Latent Thermal,0.0577777777777777,103.84615384615398
O4SZn,1.112162962412349,elemental,Thermochemical,0.4911666666666667,2.264329071759109
CaN2O6,0.6708852431042258,elemental,Latent Thermal,0.0402777777777777,16.65646120810495
CaH2O2,1.3376312152459109,elemental,Thermochemical,0.3755555555555555,3.561739922252426
CoO4S,5.3715,USGS/ISE,Thermochemical,0.5906388888888889,9.094389314772139
CoO4S,12.55463592642465,elemental,Thermochemical,0.5906388888888889,21.256026588500557
FNa,7.6,reference,Latent Thermal,0.2205555555555555,34.45843828715366
FNa,2.5475296480505123,elemental,Latent Thermal,0.2205555555555555,11.550512258163534
ClNa,0.9866666666666668,reference,Latent Thermal,0.1166666666666666,8.457142857142863
ClNa,0.1108693693414639,USGS/ISE,Latent Thermal,0.1166666666666666,0.950308880069691
ClNa,1.229919432015937,elemental,Latent Thermal,0.1166666666666666,10.542166560136609
FLi,220.0,reference,Latent Thermal,0.29,758.6206896551724
