index,source,material_names,energy_types,num_source,specific_price_refs,specific_price_element,specific_price,price_type
(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,Li 2017,,,1,20.0,10.8701471,20.0,Ref(s)
AQDS,Li 2017,AQDS,,1,4.8,,4.8,Ref(s)
Ag,USGS,,,1,608.4850296,521.0,608.4850296,Ref(s)
Air,Li 2017,,,1,0.0,,0.0,Ref(s)
Al,"USGS, Alva 2018 (Latent), Kale 2018, Kim 2013, Alok 2021",,"latent_thermal, virial_limited, latent_thermal",5,6.931362,1.79,6.931362,Ref(s)
Al2O3,"USGS, Liu 2016, Calculation",Alumina,electrostatic,3,0.9267593,1.0198643,0.9267593,Ref(s)
Al30Mg17Zn3,Alva 2018 (Latent),,latent_thermal,1,,2.0494178,2.0494178,Element
Al59Mg33Zn6,Alva 2018 (Latent),,latent_thermal,1,,2.0495696,2.0495696,Element
AlSc,USGS,,,1,340.0,2162.93108,340.0,Ref(s)
AlZn24,Alva 2018 (Latent),,latent_thermal,1,,2.5371525,2.5371525,Element
Aluminosilicate,Liu 2016,Aluminosilicate,,1,1.93,,1.93,Ref(s)
Ammonium Teptamolybdate,ISE,,,1,19.018,,19.018,Ref(s)
Antimony Ethylene Glycoxide,ISE,,,1,5.299,,5.299,Ref(s)
As,"USGS, ISE",,,2,1.3435,1.1545,1.3435,Ref(s)
As2O3,"USGS, ISE",,,2,0.5195,0.9117738,0.5195,Ref(s)
Asbestos,USGS,,,1,2.0326621,,2.0326621,Ref(s)
Au,USGS,,,1,48238.9801516,44800.0,48238.9801516,Ref(s)
B,"USGS, Alok 2021",,latent_thermal,2,11.4637382,3.68,11.4637382,Ref(s)
Ba,Kim 2013,,,1,5.9711492,0.2605,5.9711492,Ref(s)
BaCO3,Andre 2016,,thermochemical,1,,0.2261665,0.2261665,Element
BaH2O2,Andre 2016,,thermochemical,1,,0.2539008,0.2539008,Element
BaO2,Andre 2016,,thermochemical,1,,0.2403743,0.2403743,Element
Barite,USGS,,,1,0.1977546,,0.1977546,Ref(s)
Bauxite,USGS,,,1,0.0335103,,0.0335103,Ref(s)
Be,USGS,,,1,616.0,857.0,616.0,Ref(s)
BeH2O2,Andre 2016,,thermochemical,1,,179.6852589,179.6852589,Element
Bi,"USGS, ISE, Kim 2013",,,3,12.7341164,6.36,12.7341164,Ref(s)
Bi2O3,ISE,,,1,6.497,5.7207374,6.497,Ref(s)
BiNa3,Alva 2018 (Sensible),Sodium Bismuth,sensible_thermal,1,13.0,5.5262633,13.0,Ref(s)
C,"Li 2017, Liu 2016","Carbon, Activated Carbon",,2,16.375,0.122,16.375,Ref(s)
C2O6Zr,ISE,,,1,3.3825,15.8031971,3.3825,Ref(s)
C6H12O6Sc,USGS,,,1,44200.0,691.1577074,44200.0,Ref(s)
CCaO3,"Alva 2018 (Latent), Andre 2016, Alok 2021",,"latent_thermal, thermochemical, latent_thermal",3,8.0,1.0014859,8.0,Ref(s)
CCdO3,Andre 2016,,thermochemical,1,,1.831246,1.831246,Element
CCoO3,ISE,,,1,14.445,16.3262666,14.445,Ref(s)
CFRP,Kale 2018,,virial_limited,1,31.38,,31.38,Ref(s)
CK2O3,"Alva 2018 (Latent), Alok 2021",,"latent_thermal, latent_thermal",2,4.05,7.3346559,4.05,Ref(s)
CLi2O3,"USGS, ISE, Alva 2018 (Latent), Alok 2021",,"latent_thermal, latent_thermal",4,36.1648049,15.8055013,36.1648049,Ref(s)
CMg2O3,Alok 2021,,latent_thermal,1,,1.1198151,1.1198151,Element
CMgO3,Andre 2016,,thermochemical,1,,0.7738365,0.7738365,Element
CNa2O3,"USGS, Alva 2018 (Latent), Alok 2021",,"latent_thermal, latent_thermal",3,1.1604921,1.385026,1.1604921,Ref(s)
CO3Pb,Andre 2016,,thermochemical,1,,1.5839978,1.5839978,Element
CO3Sr,Andre 2016,,thermochemical,1,,3.9801865,3.9801865,Element
CO3Zn,Andre 2016,,thermochemical,1,,1.4002606,1.4002606,Element
CW,ISE,,,1,28.475,33.1426306,28.475,Ref(s)
Ca,"ISE, Kim 2013",,,2,3.8465316,2.28,3.8465316,Ref(s)
Ca21Mg30Si49,Alva 2018 (Latent),,latent_thermal,1,,2.0190492,2.0190492,Element
Ca4Mg21,Alva 2018 (Latent),,latent_thermal,1,,2.3104394,2.3104394,Element
CaCl2,"Alva 2018 (Latent), Li 2017, Alok 2021",,"latent_thermal, latent_thermal",3,1.87,0.8757739,1.87,Ref(s)
CaF2,"USGS, Alva 2018 (Latent), Alok 2021",,"latent_thermal, latent_thermal",3,3.934909,2.1437319,3.934909,Ref(s)
