index,specific_price,source,original_name,material_name,molecular_formula,specific_energy,energy_type,price_type
Ag,608.4850296,USGS,,,,,,Ref(s)
Al,6.931362,USGS,,,,,,Ref(s)
Al2O3,0.9267593,USGS,,,,,,Ref(s)
AlSc,340.0,USGS,,,,,,Ref(s)
As,1.3435,USGS,,,,,,Ref(s)
As2O3,0.5195,USGS,,,,,,Ref(s)
Asbestos,2.0326621,USGS,,,,,,Ref(s)
Au,48238.9801516,USGS,,,,,,Ref(s)
B,11.4637382,USGS,,,,,,Ref(s)
Barite,0.1977546,USGS,,,,,,Ref(s)
Bauxite,0.0335103,USGS,,,,,,Ref(s)
Be,616.0,USGS,,,,,,Ref(s)
Bi,12.7341164,USGS,,,,,,Ref(s)
C6H12O6Sc,44200.0,USGS,,,,,,Ref(s)
CLi2O3,36.1648049,USGS,,,,,,Ref(s)
CNa2O3,1.1604921,USGS,,,,,,Ref(s)
CaF2,3.934909,USGS,,,,,,Ref(s)
CaO,0.1560983,USGS,,,,,,Ref(s)
CaO4S,13.5099208,USGS,,,,,,Ref(s)
Cd,2.8309995,USGS,,,,,,Ref(s)
CeO2,2.0,USGS,,,,,,Ref(s)
Celestite,0.0892872,USGS,,,,,,Ref(s)
Cement,0.134482,USGS,,,,,,Ref(s)
Cl3Sc,129600.0,USGS,,,,,,Ref(s)
ClK,2.2296693,USGS,,,,,,Ref(s)
ClNa,0.7699673,USGS,,,,,,Ref(s)
Clay,0.0792929,USGS,,,,,,Ref(s)
Co,39.2330222,USGS,,,,,,Ref(s)
Cr,7.9403712,USGS,,,,,,Ref(s)
CrFeO4,0.1910102,USGS,,,,,,Ref(s)
Cu,31.3728584,USGS,,,,,,Ref(s)
Diamond,21410.0,USGS,,,,,,Ref(s)
Diatomite,0.3725812,USGS,,,,,,Ref(s)
Dy2O3,253.2,USGS,,,,,,Ref(s)
Eu2O3,45.4,USGS,,,,,,Ref(s)
F3Sc,224400.0,USGS,,,,,,Ref(s)
Fe,0.1801177,USGS,,,,,,Ref(s)
FeH6O3Ti,0.3898154,USGS,,,,,,Ref(s)
