index,source,num_source,specific_price_refs,specific_price_element,specific_price,price_type,molecular_formula,mu
AQDS,Li 2017,1,4.8,,4.8,Ref(s),C14H8O8S2,368.33
Ag,USGS,1,608.4850296,521.0,608.4850295578531,Ref(s),Ag,107.8682
Air,Li 2017,1,0.0,,0.0,Ref(s),O2,0.0
Al,"Alok 2021, Kale 2018, Kim 2013, USGS",4,2.4142024,1.79,2.414202444947713,Ref(s),Al,26.9815384
Al2O3,"Liu 2016, USGS",2,0.9267593,1.0198643305847335,0.926759337243702,Ref(s),Al2O3,101.9600768
AlSc,USGS,1,340.0,2162.9310799908517,340.0,Ref(s),AlSc,71.9374464
Ammonium Heptamolybdate,ISE,1,19.018,,19.018,Ref(s),H50Mo7N6O28 ,1254.064
Ammonium Paratungstate,ISE,1,20.1323333,,20.13233333333333,Ref(s),(NH4)10(H2W12O42)(H2O)4,3132.5040000000004
Ammonium Tetrathiomolybdate,ISE,1,18.728,,18.728,Ref(s),H10MoN2S4,262.284
Antimony Ethylene Glycoxide,ISE,1,5.299,,5.299,Ref(s),,
As,"ISE, USGS",2,1.3435,1.1545,1.3435000000000001,Ref(s),As,74.921595
As2O3,"ISE, USGS",2,0.5195,0.9117737950767234,0.5195,Ref(s),As2O3,197.84019
Asbestos,USGS,1,2.0326621,,2.0326620573445715,Ref(s),Mg3Si2O5(OH)4,277.108
Au,USGS,1,48238.9801516,44800.00000000001,48238.98015156943,Ref(s),Au,196.96657
B,"Alok 2021, USGS",2,11.4637382,3.6800000000000006,11.46373816318824,Ref(s),B,10.81
Ba,Kim 2013,1,5.9711492,0.2605,5.971149154936756,Ref(s),Ba,137.327
Ba(OH)2,alibaba,1,0.1,0.2539007914042757,0.1,Ref(s),Ba(OH)2,171.341
BaCO3,alibaba,1,0.3295455,0.22616648592494998,0.3295454545454545,Ref(s),BaCO3,197.33499999999998
BaO,alibaba,1,0.3,0.2493871196013722,0.3,Ref(s),BaO,153.326
BaO2,alibaba,1,10.0,0.2403742831832275,10.0,Ref(s),BaO2,169.325
Barite,USGS,1,0.1977546,,0.1977546491798352,Ref(s),BaSO4,233.383
Bauxite,USGS,1,0.0335103,,0.0335102638521013,Ref(s),AlHO2,59.987538400000005
Be,USGS,1,616.0,857.0,616.0,Ref(s),Be,9.0121831
Bi,"ISE, Kim 2013, USGS",3,12.7341164,6.36,12.734116414173732,Ref(s),Bi,208.9804
Bi2O3,ISE,1,6.497,5.720737427294917,6.497,Ref(s),Bi2O3,465.9578
Br2,USGS,1,2.442,4.39,2.442,Ref(s),Br2,159.808
C,"Li 2017, Liu 2016",2,16.375,0.122,16.375,Ref(s),C,12.011
C6H12O6Sc,USGS,1,44200.0,691.1577074278987,44200.0,Ref(s),C6H12O6Sc,225.111908
CCoO3,ISE,1,14.445,16.326266601964665,14.445,Ref(s),CCoO3,118.941194
CFRP,Kale 2018,1,31.38,,31.38,Ref(s),,
CNT,alibaba,1,100.0,,100.0,Ref(s),C6,72.066
CW,ISE,1,28.475,33.14263058141138,28.475,Ref(s),CW,195.851
Ca,"ISE, Kim 2013",2,3.6333941,2.28,3.633394141424223,Ref(s),Ca,40.078
Ca(NO3)2,alibaba,1,0.83,0.6708852431042258,0.83,Ref(s),Ca(NO3)2,164.086
Ca(OH)2 ,alibaba,1,0.7600556,1.3376312152459107,0.7600555555555555,Ref(s),Ca(OH)2 ,74.09200000000001
CaCO3,Alva 2018,1,8.0,1.0014859221069878,8.0,Ref(s),CaCO3,100.086
