index,source,num_source,molecular_formula,mu,Cp,kth,sp_latent_heat,phase_change_T,deltaH_thermochem,specific_strength,deltaG_chem,mass_density,dielectric_breakdown,dielectric_constant
AQDS,Li 2017,1,C14H8O8S2,368.33,,,,,,,,,,
Ag,USGS,1,Ag,107.8682,,,,,,,,,,
Air,Li 2017,1,O2,0.0,,,,,,,,,,
Al,"Alok 2021, Kale 2018, Kim 2013, USGS",4,Al,26.9815384,,,0.1102777777777777,660.0,,139.65766877885386,,,,
Al2O3,"Liu 2016, USGS",2,Al2O3,101.9600768,,,,,,,,3.95,500000000.0,10.0
AlSc,USGS,1,AlSc,71.9374464,,,,,,,,,,
Ammonium Teptamolybdate,ISE,1,,,,,,,,,,,,
Antimony Ethylene Glycoxide,ISE,1,,,,,,,,,,,,
As,"ISE, USGS",2,As,74.921595,,,,,,,,,,
As2O3,"ISE, USGS",2,As2O3,197.84019,,,,,,,,,,
Asbestos,USGS,1,,,,,,,,,,,,
Au,USGS,1,Au,196.96657,,,,,,,,,,
B,"Alok 2021, USGS",2,B,10.81,,,1.2777777777777777,2350.0,,,,,,
Ba,Kim 2013,1,Ba,137.327,,,,,,,,,,
BaCO3,"Andre 2016, alibaba",2,,,,,,,0.2323888888888889,,,,,
BaH2O2,"Andre 2016, alibaba",2,,,,,,,0.1515194444444444,,,,,
BaO,"Andre 2016, alibaba",2,,,,,,,0.1201666666666666,,,,,
BaO2,alibaba,1,,,,,,,,,,,,
Barite,USGS,1,BaO4S,233.383,,,,,,,,,,
Basalt,Alva 2018,1,SiO2,60.083,0.0004083333333333,3.2,,,,,,,,
Bauxite,USGS,1,AlHO2,59.987538400000005,,,,,,,,,,
Be,USGS,1,Be,9.0121831,,,,,,,,,,
BeH2O2,Andre 2016,1,,,,,,,0.3308333333333333,,,,,
Bi,"ISE, Kim 2013, USGS",3,Bi,208.9804,,,,,,,,,,
Bi2O3,ISE,1,Bi2O3,465.9578,,,,,,,,,,
Br2,USGS,1,Br2,159.808,,,,,,,,,,
C,"Li 2017, Liu 2016",2,C,12.011,,,,,,,,,,
C2O6Zr,ISE,1,C2O6Zr,211.24,,,,,,,,,,
C6H12O6Sc,USGS,1,C6H12O6Sc,225.111908,,,,,,,,,,
CCaO3,"Alva 2018, Andre 2016",2,CCaO3,100.086,,,0.0394444444444444,1330.0,0.4602222222222222,,,,,
CCdO3,"Andre 2016, alibaba",2,,,,,,,0.1555833333333333,,,,,
CCoO3,ISE,1,CCoO3,118.941194,,,,,,,,,,
CFRP,Kale 2018,1,,,,,,,,1080.8619647171968,,,,
CK2O3,"Alok 2021, Alva 2018",2,CK2O3,138.2046,,,0.0608333333333333,897.0,,,,,,
CLi2O3,"Alok 2021, Alva 2018, ISE, USGS",4,CLi2O3,73.888,,,0.1413888888888889,732.0,,,,,,
CMg2O3,Alok 2021,1,,,,,0.1938888888888889,,,,,,,
CMgO3,"Andre 2016, alibaba",2,,,,,,,0.3261111111111111,,,,,
CNT,alibaba,1,,,,,,,,,,,,
CNa2O3,"Alok 2021, Alva 2018, USGS",3,CNa2O3,105.98753856,,,0.06124999999999996,854.0,,,,,,
CO3Pb,"Andre 2016, alibaba",2,,,,,,,0.0872222222222222,,,,,
CO3Sr,"Andre 2016, alibaba",2,,,,,,,0.3807361111111111,,,,,
CO3Zn,Andre 2016,1,,,,,,,0.1513611111111111,,,,,
CW,ISE,1,CW,195.851,,,,,,,,,,
Ca,"ISE, Kim 2013",2,Ca,40.078,,,,,,,,,,
CaCl2,"Alok 2021, Alva 2018, Li 2017",3,CaCl2,110.97800000000001,,,0.0702777777777777,772.0,,,,,,
CaF2,"Alok 2021, Alva 2018, USGS",3,CaF2,78.074806326,,,0.10722222222222219,1418.0,,,,,,
CaH2O2,"Andre 2016, alibaba",2,,,,,,,0.3755555555555555,,,,,
CaN2O6,alibaba,1,,,,,,,,,,,,
CaO,USGS,1,CaO,56.077000000000005,,,,,,,,,,
CaO4S,"Alva 2018, USGS",2,CaO4S,136.13400000000001,,,0.0563888888888888,1460.0,,,,,,
Cd,"ISE, Kim 2013, USGS",3,Cd,112.414,,,,,,,,,,
Cd(OH)2,Li 2017,1,Cd(OH)2,146.428,,,,,,,,,,
CdH2O2,"Andre 2016, alibaba",2,,,,,,,0.1137222222222222,,,,,
CdO4S,"Andre 2016, alibaba",2,,,,,,,0.4723611111111111,,,,,
CeO2,USGS,1,CeO2,172.114,,,,,,,,,,
Celestite,USGS,1,,,,,,,,,,,,
