index,source,num_source,specific_price_refs,molecular_formula,mu,specific_price_element,specific_price,price_type
AQDS,Li 2017,1,4.8,C14H8O8S2,368.33,,4.8,Ref(s)
Ag,USGS,1,608.4850296,,,521.0,608.4850296,Ref(s)
Air,Li 2017,1,0.0,O2,0.0,,0.0,Ref(s)
Al,"Alok 2021, Alva 2018, Kale 2018, Kim 2013, USGS",5,6.931362,Al,26.9815384,1.79,6.931362,Ref(s)
Al2O3,"Liu 2016, USGS",2,0.9267593,,,1.0198643,0.9267593,Ref(s)
AlSc,USGS,1,340.0,,,2162.93108,340.0,Ref(s)
Ammonium Teptamolybdate,ISE,1,19.018,,,,19.018,Ref(s)
Antimony Ethylene Glycoxide,ISE,1,5.299,,,,5.299,Ref(s)
As,"ISE, USGS",2,1.3435,,,1.1545,1.3435,Ref(s)
As2O3,"ISE, USGS",2,0.5195,,,0.9117738,0.5195,Ref(s)
Asbestos,USGS,1,2.0326621,,,,2.0326621,Ref(s)
Au,USGS,1,48238.9801516,,,44800.0,48238.9801516,Ref(s)
B,"Alok 2021, USGS",2,11.4637382,,,3.68,11.4637382,Ref(s)
Ba,Kim 2013,1,5.9711492,Ba,137.327,0.2605,5.9711492,Ref(s)
BaCO3,alibaba,1,0.3295455,,,0.2261665,0.3295455,Ref(s)
BaH2O2,alibaba,1,0.1,,,0.2539008,0.1,Ref(s)
BaO,alibaba,1,0.3,,,0.2493871,0.3,Ref(s)
BaO2,alibaba,1,10.0,,,0.2403743,10.0,Ref(s)
Barite,USGS,1,0.1977546,,,,0.1977546,Ref(s)
Bauxite,USGS,1,0.0335103,,,,0.0335103,Ref(s)
Be,USGS,1,616.0,,,857.0,616.0,Ref(s)
Bi,"ISE, Kim 2013, USGS",3,12.7341164,Bi,208.9804,6.36,12.7341164,Ref(s)
Bi2O3,ISE,1,6.497,,,5.7207374,6.497,Ref(s)
BiNa3,Alva 2018,1,13.0,,,5.5262633,13.0,Ref(s)
Br2,USGS,1,2.442,,,4.39,2.442,Ref(s)
C,"Li 2017, Liu 2016",2,16.375,C,12.011,0.122,16.375,Ref(s)
C2O6Zr,ISE,1,3.3825,,,15.8031971,3.3825,Ref(s)
C6H12O6Sc,USGS,1,44200.0,,,691.1577074,44200.0,Ref(s)
CCaO3,Alva 2018,1,8.0,,,1.0014859,8.0,Ref(s)
CCdO3,alibaba,1,0.5,,,1.831246,0.5,Ref(s)
CCoO3,ISE,1,14.445,,,16.3262666,14.445,Ref(s)
CFRP,Kale 2018,1,31.38,,,,31.38,Ref(s)
CK2O3,"Alok 2021, Alva 2018",2,4.05,,,7.3346559,4.05,Ref(s)
CLi2O3,"Alok 2021, Alva 2018, ISE, USGS",4,36.1648049,,,15.8055013,36.1648049,Ref(s)
CMgO3,alibaba,1,1.003943,,,0.7738365,1.003943,Ref(s)
CNT,alibaba,1,100.0,,,,100.0,Ref(s)
CNa2O3,"Alok 2021, Alva 2018, USGS",3,1.1604921,,,1.385026,1.1604921,Ref(s)
CO3Pb,alibaba,1,0.136,,,1.5839978,0.136,Ref(s)
CO3Sr,alibaba,1,1.4323009,,,3.9801865,1.4323009,Ref(s)
CW,ISE,1,28.475,,,33.1426306,28.475,Ref(s)
Ca,"ISE, Kim 2013",2,3.6333941,Ca,40.078,2.28,3.6333941,Ref(s)
CaCl2,"Alok 2021, Alva 2018, Li 2017",3,1.87,CaCl2,110.97800000000001,0.8757739,1.87,Ref(s)
CaF2,"Alok 2021, Alva 2018, USGS",3,3.934909,,,2.1437319,3.934909,Ref(s)
CaH2O2,alibaba,1,0.7600556,,,1.3376312,0.7600556,Ref(s)
CaN2O6,alibaba,1,0.83,,,0.6708852,0.83,Ref(s)
CaO,USGS,1,0.1560983,,,1.6734434,0.1560983,Ref(s)
CaO4S,"Alva 2018, USGS",2,13.5099208,,,0.7654368,13.5099208,Ref(s)
Cd,"ISE, Kim 2013, USGS",3,2.8906861,Cd,112.414,2.73,2.8906861,Ref(s)
Cd(OH)2,Li 2017,1,3.43,Cd(OH)2,146.428,2.1486338,3.43,Ref(s)
CdH2O2,alibaba,1,10.0,,,2.1486338,10.0,Ref(s)
CdO4S,alibaba,1,0.77,,,1.5336229,0.77,Ref(s)
CeO2,USGS,1,2.0,,,3.8060003,2.0,Ref(s)
Celestite,USGS,1,0.0892872,,,,0.0892872,Ref(s)
Cement,USGS,1,0.134482,,,,0.134482,Ref(s)
Cl2Co,ISE,1,6.388,,,14.9331808,6.388,Ref(s)
Cl2H2OZr,ISE,1,2.272,,,18.4947928,2.272,Ref(s)
Cl2Mg,"Alok 2021, Alva 2018, Liu 2016",3,18.514,,,0.6533417,18.514,Ref(s)
Cl2Zn,Alva 2018,1,14.0,,,1.266017,14.0,Ref(s)
Cl3Sc,USGS,1,129600.0,,,1028.0904721,129600.0,Ref(s)
Cl4Ti,ISE,1,1.1685,,,2.9383678,1.1685,Ref(s)
ClK,"Alok 2021, Alva 2018, Liu 2016, USGS",4,2.2296693,,,6.7784249,2.2296693,Ref(s)
ClLi,"Alok 2021, Alva 2018, ISE, Liu 2016",4,20.149875,,,13.7390163,20.149875,Ref(s)
ClNa,"Alok 2021, Alva 2018, Liu 2016, USGS",4,0.7699673,,,1.2299194,0.7699673,Ref(s)
Clay,USGS,1,0.0792929,,,,0.0792929,Ref(s)
Co,"ISE, USGS",2,39.2330222,,,32.8,39.2330222,Ref(s)
Co3O4,ISE,1,22.2,,,24.1237054,22.2,Ref(s)
CoO,ISE,1,31.6,,,25.8296535,31.6,Ref(s)
CoO4S,ISE,1,5.3715,,,12.5546359,5.3715,Ref(s)
Cr,"Alok 2021, ISE, USGS",3,7.9403712,,,9.4,7.9403712,Ref(s)
Cr2O3,alibaba,1,1.0,,,6.4801856,1.0,Ref(s)
CrCl3(H2O)6,Li 2017,1,2.04,CrCl3(H2O)6,266.4361,1.985769,2.04,Ref(s)
CrFeO4,"ISE, USGS",2,0.1910102,,,3.0394892,0.1910102,Ref(s)
Cu,"Alok 2021, Alva 2018, USGS",3,31.3728584,,,6.0,31.3728584,Ref(s)
CuCl,Li 2017,1,4.55,CuCl,98.99600000000001,3.8807922,4.55,Ref(s)
CuO,alibaba,1,17.8,,,4.8241856,17.8,Ref(s)
CuO4S,alibaba,1,1.088625,,,2.4692682,1.088625,Ref(s)
Diamond,USGS,1,21410.0,,,,21410.0,Ref(s)
Diatomite,USGS,1,0.3725812,,,,0.3725812,Ref(s)
Dy2O3,USGS,1,253.2,,,267.5152656,253.2,Ref(s)
Eu2O3,USGS,1,45.4,,,27.1385401,45.4,Ref(s)
F2Mg,Alok 2021,1,0.87,,,2.1248375,0.87,Ref(s)
F3Sc,USGS,1,224400.0,,,1526.8241872,224400.0,Ref(s)
FLi,"Alok 2021, Alva 2018",2,110.01625,,,23.8058913,110.01625,Ref(s)
FNa,"Alok 2021, Alva 2018",2,4.605,,,2.5475296,4.605,Ref(s)
Fe,USGS,1,0.1801177,,,0.424,0.1801177,Ref(s)
FeCl2,Li 2017,1,2.53,FeCl2,126.745,0.2326883,2.53,Ref(s)
FeCr,USGS,1,2.5282612,,,4.7518212,2.5282612,Ref(s)
FeH6O3Ti,"ISE, USGS",2,0.3898154,,,3.7092512,0.3898154,Ref(s)
FeO4S,alibaba,1,0.0947143,,,0.240304,0.0947143,Ref(s)
FeSi2,USGS,1,2.2607303,,,1.0638511,2.2607303,Ref(s)
Feldspar,USGS,1,0.1067037,,,,0.1067037,Ref(s)
GRE,Kale 2018,1,24.815,,,,24.815,Ref(s)
Ga,"ISE, Kim 2013, USGS",3,373.2624041,Ga,69.723,148.0,373.2624041,Ref(s)
Ge,"ISE, USGS",2,1187.075,,,962.0,1187.075,Ref(s)
GeO2,"ISE, USGS",2,782.45,,,667.8421426,782.45,Ref(s)
Graphene,Graphene Lab,1,90.0,,,,90.0,Ref(s)
Graphene Oxide,alibaba,1,400.0,,,,400.0,Ref(s)
Graphite,"Li 2017, Liu 2016, USGS",3,5.2505528,C6,72.066,,5.2505528,Ref(s)
