,source,specific_energy,molecular_formula_norm,energy_type
169,Alva 2018 (Sensible),0.2263888888888888,C24H20O,Sensible Thermal
170,Alva 2018 (Sensible),0.3484722222222222,C57H104O9,Sensible Thermal
171,Alva 2018 (Sensible),0.2168055555555555,K53N100Na47O260,Sensible Thermal
172,Alva 2018 (Sensible),0.2009722222222222,Ca48K45N148Na7O444,Sensible Thermal
173,Alva 2018 (Sensible),0.2083333333333333,KN2NaO6,Sensible Thermal
174,Alva 2018 (Sensible),0.1805555555555555,Na,Sensible Thermal
175,Alva 2018 (Sensible),0.1236111111111111,KNa,Sensible Thermal
176,Alva 2018 (Sensible),0.0194444444444444,BiNa3,Sensible Thermal
182,Alva 2018 (Latent),0.0477777777777777,NNaO3,Latent Thermal
183,Alva 2018 (Latent),0.0738888888888888,KNO3,Latent Thermal
184,Alva 2018 (Latent),0.0402777777777777,CaN2O6,Latent Thermal
186,Alva 2018 (Latent),0.0766666666666666,CNa2O3,Latent Thermal
187,Alva 2018 (Latent),0.0655555555555555,CK2O3,Latent Thermal
188,Alva 2018 (Latent),0.0394444444444444,CCaO3,Latent Thermal
189,Alva 2018 (Latent),0.1413888888888889,CLi2O3,Latent Thermal
190,Alva 2018 (Latent),0.0208333333333333,Cl2Zn,Latent Thermal
191,Alva 2018 (Latent),0.1166666666666666,ClNa,Latent Thermal
192,Alva 2018 (Latent),0.0980555555555555,ClK,Latent Thermal
193,Alva 2018 (Latent),0.1255555555555555,Cl2Mg,Latent Thermal
194,Alva 2018 (Latent),0.1225,ClLi,Latent Thermal
195,Alva 2018 (Latent),0.0702777777777777,CaCl2,Latent Thermal
196,Alva 2018 (Latent),0.0458333333333333,Na2O4S,Latent Thermal
197,Alva 2018 (Latent),0.0233333333333333,Li2O4S,Latent Thermal
198,Alva 2018 (Latent),0.0588888888888888,K2O4S,Latent Thermal
199,Alva 2018 (Latent),0.0338888888888888,MgO4S,Latent Thermal
200,Alva 2018 (Latent),0.0563888888888888,CaO4S,Latent Thermal
201,Alva 2018 (Latent),0.29,FLi,Latent Thermal
202,Alva 2018 (Latent),0.2205555555555555,FNa,Latent Thermal
203,Alva 2018 (Latent),0.13,KF,Latent Thermal
204,Alva 2018 (Latent),0.1086111111111111,CaF2,Latent Thermal
205,Alva 2018 (Latent),0.0458333333333333,HNaO,Latent Thermal
206,Alva 2018 (Latent),0.0416666666666666,KOH,Latent Thermal
207,Alva 2018 (Latent),0.2425,HLiO,Latent Thermal
208,Alva 2018 (Latent),0.0577777777777777,Cu,Latent Thermal
209,Alva 2018 (Latent),0.0313888888888888,Zn,Latent Thermal
210,Alva 2018 (Latent),0.1102777777777777,Al,Latent Thermal
211,Alva 2018 (Latent),0.0513888888888888,Mg23Zn27,Latent Thermal
212,Alva 2018 (Latent),0.05,Mg12Zn13,Latent Thermal
213,Alva 2018 (Latent),0.0383333333333333,AlZn24,Latent Thermal
214,Alva 2018 (Latent),0.0861111111111111,Al59Mg33Zn6,Latent Thermal
215,Alva 2018 (Latent),0.0914166666666666,Al30Mg17Zn3,Latent Thermal
216,Alva 2018 (Latent),0.0705555555555555,Cu5Mg12Zn3,Latent Thermal
217,Alva 2018 (Latent),0.0755555555555555,Ca4Mg21,Latent Thermal
218,Alva 2018 (Latent),0.0872222222222222,Mg47Si38Zn15,Latent Thermal
219,Alva 2018 (Latent),0.0547222222222222,Cu4Si,Latent Thermal
220,Alva 2018 (Latent),0.0255555555555555,Cu83P10Si7,Latent Thermal
221,Alva 2018 (Latent),0.0847222222222222,Ca21Mg30Si49,Latent Thermal
222,Alva 2018 (Latent),0.2102777777777777,Mg11Si14,Latent Thermal
281,Andre 2016,0.8048611111111111,MgO4S,Thermochemical
282,Andre 2016,0.65825,MnO4S,Thermochemical
283,Andre 2016,0.6332722222222222,FeO4S,Thermochemical
284,Andre 2016,0.5906388888888889,CoO4S,Thermochemical
285,Andre 2016,0.52275,CuO4S,Thermochemical
286,Andre 2016,0.4911666666666667,O4SZn,Thermochemical
287,Andre 2016,0.4723611111111111,CdO4S,Thermochemical
288,Andre 2016,0.3998333333333334,NiO4S,Thermochemical
289,Andre 2016,0.4602222222222222,CCaO3,Thermochemical
290,Andre 2016,0.3807361111111111,CO3Sr,Thermochemical
291,Andre 2016,0.3261111111111111,CMgO3,Thermochemical
292,Andre 2016,0.2323888888888889,BaCO3,Thermochemical
293,Andre 2016,0.1555833333333333,CCdO3,Thermochemical
294,Andre 2016,0.1513611111111111,CO3Zn,Thermochemical
295,Andre 2016,0.0872222222222222,CO3Pb,Thermochemical
296,Andre 2016,0.3755555555555555,CaH2O2,Thermochemical
297,Andre 2016,0.3702777777777777,H2MgO2,Thermochemical
298,Andre 2016,0.3308333333333333,BeH2O2,Thermochemical
299,Andre 2016,0.2094444444444444,H2MnO2,Thermochemical
300,Andre 2016,0.2023055555555555,H2O2Sr,Thermochemical
301,Andre 2016,0.1515194444444444,BaH2O2,Thermochemical
302,Andre 2016,0.1433333333333333,H2NiO2,Thermochemical
303,Andre 2016,0.1386,H2O2Zn,Thermochemical
304,Andre 2016,0.1137222222222222,CdH2O2,Thermochemical
305,Andre 2016,0.2728055555555556,O3Rh2,Thermochemical
306,Andre 2016,0.2696944444444444,O5V2,Thermochemical
307,Andre 2016,0.2266944444444444,Co3O4,Thermochemical
308,Andre 2016,0.2362777777777777,Mn3O4,Thermochemical
309,Andre 2016,0.2250555555555555,CuO,Thermochemical
310,Andre 2016,0.2071944444444444,LiO,Thermochemical
311,Andre 2016,0.1348888888888889,Fe2O3,Thermochemical
312,Andre 2016,0.1201666666666666,BaO2,Thermochemical
313,Andre 2016,0.1057222222222222,MgO2,Thermochemical
314,Andre 2016,0.0775277777777777,Cr5O12,Thermochemical
