,pubchem_formulas,chemspi_output
Tantalum oxide,"{'O5Ta2': 7, 'O2Ta': 1}",{'OTa': 1}
Cadmium,"{'Cd': 44, 'Cd+2': 2, 'Cd3': 2, 'Cd2': 2, 'C11H11NO': 1}",{'Cd': 2}
Gallium,"{'Ga': 33, 'Ga+3': 1}",{'Ga': 1}
Rhenium,{'Re': 50},{'Re': 1}
ammonium paratungstate,"{'H8N2O4W': 7, 'H40N10O41W12': 4, 'W': 5, 'O4W-2': 1, 'H20NO7W6+': 1}","{'H_{8}N_{2}O_{4}W': 1, 'H_{40}N_{10}O_{41}W_{12}': 2, 'H_{42}N_{10}O_{42}W_{12}': 1}"
Lithium Carbonate,"{'CLi2O3': 77, 'CH2LiO3+': 4, 'CLiO3-': 4, 'CH2Li2O3': 1, 'CHLi2O3': 1}",{'CLi_{2}O_{3}': 1}
Arsenic,"{'As': 34, 'As+3': 1, 'AsH3': 1}",{'As': 1}
Germanium dioxide,{'GeO2': 17},{'GeO_{2}': 2}
Chromium,"{'Cr': 58, 'Cr+3': 1, 'C34H19CrN8Na6O26S6': 1, 'C44H30CrN12Na3O16S4': 1, 'C27H19ClCrLiN9NaO9S-': 1, 'C32H22CrN8Na3O15S3': 1, 'C32H16CrN8Na5O20S4': 1}",{'Cr': 1}
Cobalt,"{'Co': 51, 'Co2': 2, 'C19H15NNa2O7': 2, 'C9H11Cl3NO3PS': 1, 'C45H61CoN6O12-': 1, 'C60H85CoN13O15P-': 1, 'C48H72CoN11O8-': 1, 'Co+2': 1, 'C32H22CoLiN6O8S2': 1, 'C7H7Cl2N': 1}",{'Co': 1}
Cobalt Sulphate,{'CoO4S': 6},{'CoO_{4}S': 1}
Germanium,"{'Ge': 40, 'Ge2': 2, 'Ge3': 2, 'Ge4': 2, 'Ge5': 2, 'C2H3NaO2S': 1, 'Ge+4': 1, 'GeH4': 1}",{'Ge': 1}
antimony ethylene glycoxide,{},{}
Arsenic Trioxide,"{'As2O3': 25, 'As4O6': 6, 'AsH3O3': 3, 'AsH2O3-': 1}","{'As_{2}O_{3}': 3, 'As_{4}O_{6}': 1}"
Sodium Molybdate,"{'MoNa2O4': 33, 'MoNa2O4-6': 2, 'H4MoNa2O6-6': 1, 'H2MnNa2O5': 1, 'H8MoNa2O4': 1}",{'MoNa_{2}O_{4}': 1}
Selenium dioxide,"{'O2Se': 42, 'H2O3Se': 3, 'H2O2Se': 1}",{'O_{2}Se': 1}
Tungsten trioxide,"{'O3W': 28, 'O3W-6': 1}","{'O_{3}W': 2, 'H_{6}O_{3}W': 1}"
Molybdenum oxide,"{'MoO3': 7, 'MoO': 5, 'MoO2': 2, 'H4MoO2': 1}","{'MoO_{2}': 1, 'MoO': 1}"
Selenium,"{'Se': 44, 'Se2': 3, 'H2Se': 1, 'C24H32ClNO4': 1}",{'Se': 1}
Strontium,"{'Sr': 29, 'Sr+2': 9, 'C6H10O4Sr': 1, 'H2Sr': 1, 'C8H16O2': 1}",{'Sr': 1}
Cobalt Chloride,"{'Cl2Co': 25, 'Cl3Co': 2, 'Cl2CoH12O6': 2, 'ClCo-': 1}",{'Cl_{2}Co': 1}
Sodium Tungstate,"{'Na2O4W': 23, 'H2NaOW': 3, 'Na2O4W-6': 2, 'H4Na2O6W': 2, 'H2Na2O5W': 2, 'O4W-2': 1, 'H8Na2O4W': 1, 'W': 2}",{'Na_{2}O_{4}W': 1}
