,0,1,2,3,4,5,6,7,8,9,10,11
0,Salt/eutectic,Melting,Highest,,Speciﬁc heat,,Density (kg$m,-3),Thermal,,Sensible heat,Cost
1,,point (degC),operating,(kJ$kg,-1 degC,-1),(liquid),,conductivity,,storage capacity,"($$kg
-1)"
2,,,temperature,,,,,,"(W$m
-1 K",-1),"(MJ$m
-3 degC
-1)",
3,,,(degC),,,,,,,,,
4,"HITEC, NaNO3eKNO3e NaNO2",,,,,,,,,,,e
5,,142,535,1.561,,,1640,,0.60,,2.56,
6,(7-53e 40),,,,,,,,,,,
7,"HITEC XL, NaNO3e KNO3eCa(NO3)2",120,500,1.447,,,1992,,0.519,,2.9,1.19
8,(7e 45-48),,,,,,,,,,,
9,"Solar Salt, NaNO3e KNO3 (50-50)",,,,,,,,,,,e
10,,220,600,1.5,,,1899,,0.55,,2.8,
11,,,,e,,,,,e,,e,e
12,LiNO3,250,600,,,,2380,,,,,
