,0,1,2,3,4,5,6,7,8,9,10
0,Rock,Type,Porosity (%),Density,Uniaxial,Speciﬁc heat,Thermal,,Sensible heat,Hardness,Major components
1,,,,"(kg$m
-3)",compressive,"(kJ$kg
-1 degC
-1)",conductivity,,storage,,
2,,,,,strength (MPa),@20 degC,"(W$m
-1 K",-1),capacity,,
3,,,,,,,,,"(kJ$m
-3 degC
-1)",,
4,Granite,Igneous,1.02-2.87,2530-2620,100-300,0.6-1.2,2.8,,1440-2880,High,SiO2(69%) Al2O3(14%)
5,Quartzite,Metamorphic,0.22-22.1,2210-2770,100-350,0.8-0.9,2,,1750-2500,Very high,SiO2(94%)
6,Marble,Metamorphic,0.40-0.65,2510-2860,150-300,0.7-1,7.7,,3822,Lowemedium,CaO(54%)
7,Basalt,Igneous,0.65-0.81,2610-2670,50-200,1.47,3.2,,1680-2520,Mediumehigh,SiO2(47%) Al2O3(17%)
8,,,,,,,,,,,F-2O3(10%) CaO(13%)
9,Hornfels,Metamorphic,0.8-2.3,2400-2800,100-200,0.7-0.9,1.5,,2560-2880,Medium,SiO2(63%) Al2O3(21%)
