Material,Vf,E_theta,E_r,G_theta_r,G_r_z,v_theta_r,v_r_z,density,sigma_theta_T,sigma_theta_C,sigma_r_T,sigma_r_C,tau_theta_r,relative cost
,,GPa,GPa,GPa,GPa,,,g/cm3,MPa,MPa,MPa,MPa,MPa,/kg
AS4-3501–6,0.6,127,11.15,6.55,3.64,0.27,0.53,1.591,1950,1480,48,200,79,26.63
AS4–8552,0.58,135.1,9.63,4.95,3.35,0.3,0.43,1.577,2206,1531,80,259.9,114.5,26.69
E-Glass Epoxy,0.45,44.81,12.41,5.51,3.59,0.28,0.36,2.076,1035,620,48,137.8,68.9,18.72
IM7-8551–7,0.6,165.8,8.56,5.59,2.94,0.27,0.46,1.574,2560,1590,73,185,90,35.77
IM7–8552,0.57,139.7,11.39,4.75,3.89,0.32,0.46,1.588,2723,1689,111,215.9,119.9,35.77
Kevlar-49 Epoxy,0.45,75.84,5.51,2.06,1.54,0.34,0.47,1.384,1378,275,29,137.8,62,27.1
S-2 Glass Epoxy,0.45,55.84,17.92,6.2,3.89,0.27,0.35,1.993,1999,965,62,155,93,30.91
T300-BSL914C,0.6,138.1,11,5.43,3.57,0.28,0.54,1.559,1500,900,27,200,80,31.71
T300-PR319,0.6,128.9,5.706,1.33,1.84,0.32,0.55,1.562,1378,950,40,125,97,31.71
