,Unnamed: 0,pubchem_formulas,chemspi_output,pubchem_top_formula,chemspi_top_formula
0,Bromine,"{'Br2': 32, 'Br': 14, 'BrH': 4, 'Br-': 11}","{'Br_{2}': 1, 'Br': 1}",Br2,Br2
1,Scandium Chloride,"{'Cl3Sc': 17, 'ClSc-': 2}",{'Cl_{3}Sc': 1},Cl3Sc,Cl3Sc
2,Scandium,"{'Sc': 32, 'F3Sm': 1}",{'Sc': 2},Sc,Sc
3,Scandium Aluminum Alloy,{},{},,
4,Manganese,"{'Mn': 40, 'Mn+2': 2, 'C18H11ClMnN2O6S': 1}",{'Mn': 1},Mn,Mn
5,Tantalum pentoxide,{'O5Ta2': 14},{'O_{5}Ta_{2}': 1},O5Ta2,O5Ta2
6,Iron Oxide,"{'Fe2O3': 12, 'FeO': 10, 'Fe3O4': 2, 'Fe2H6O3': 1, 'FeO2': 1, 'FeH3O3': 1}","{'Fe_{2}O_{3}': 2, 'FeO': 2, 'H_{2}Fe_{2}O_{4}': 1, 'HFeO_{2}': 1, 'H_{2}FeO': 1, 'Fe_{3}O_{4}': 1}",Fe2O3,Fe2O3
7,Tin,"{'Sn': 38, 'C32H46N2O3S': 4, 'NTi': 2, 'H3NTi': 2, 'Sn+4': 1, 'H2Sn': 1}",{'Sn': 1},Sn,Sn
8,Iodine,"{'I2': 70, 'I': 10, 'HI': 8, 'C7H10N2': 1, 'IK': 1}","{'I_{2}': 1, 'I': 1}",I2,I2
9,Lime,"{'CaO': 11, 'CH3Li': 2, 'CaH2O': 2, 'CaH2O2': 1}",{'CH_{3}Li': 1},CaO,CH3Li
10,Fluorspar,{'CaF2': 5},{'CaF_{2}': 1},CaF2,CaF2
11,Kaolin Clay,{},{'H_{8}Al_{2}O_{11}Si_{2}': 1},,H8Al2O11Si2
12,CeO2,{'CeO2': 4},{'CeO_{2}': 1},CeO2,CeO2
13,Alumina,"{'Al2O3': 18, 'AlO+': 1, 'C24H25ClFN5O3': 1}",{'Al_{2}O_{3}': 2},Al2O3,Al2O3
14,Gypsum,"{'CaO4S': 11, 'CaH4O6S': 7}",{'H_{4}CaO_{6}S': 1},CaO4S,H4CaO6S
15,Nd2O3,{'Nd2O3': 2},{'Nd_{2}O_{3}': 1},Nd2O3,Nd2O3
