,num_entries,average_price,stddev_price,ratio,formula,chemspider_formulas
Scandium,40,116595.0,87644.1858472113,0.7516976358095226,,"['Sc', 'Sc']"
Rare Earths,35,149.0857142857143,268.559268453481,1.801374932133353,,[]
Clays,30,0.0792929269658276,0.0570908854019663,0.7199997223783966,,[]
Platinum-Group Metals,25,2.9804518096281027,5.501642161068633,1.8459087790971935,,[]
Zirconium and Hafnium,21,308.7181917617648,566.6762513897696,1.83557777452606,,[]
Titanium Mineral Concentrates,20,0.7008495314857258,0.4062267855758793,0.5796205423933467,,[]
Salt,20,0.110869369341464,0.0867425432440765,0.7823851056365283,,[]
Silicon,15,2.379081758657742,0.3915122188378839,0.1645644238215553,,['Si']
Graphite (Natural),15,1.6016583347731357,0.9094951075712272,0.5678458931130597,,[]
Copper,15,6.8685752657905885,1.2871508761855384,0.1873970694615929,,['Cu']
Arsenic,15,0.92,0.4950613237627378,0.538110134524715,,['As']
Chromium,15,4.37147270944321,4.568663459465104,1.0451085396452149,,['Cr']
Indium,14,257.7142857142857,89.08546334963847,0.3456753012458256,,"['In', 'In']"
Rhenium,10,1268.0,221.29919415427915,0.1745261783551097,,['Re']
Gallium,10,354.9,203.87275443275885,0.5744512663644938,,['Ga']
Fluorspar,10,0.2847270116117694,0.0672420942764834,0.236163382939478,,['CaF_{2}']
Feldspar and Nepheline Syenite,10,0.122356555512607,0.0443336886112341,0.3623319439281388,,[]
Diamond (Industrial),10,21410.0,25809.37383544548,1.2054821968914282,,[]
Zinc,10,2.8183895597714748,0.3106235995820036,0.1102131529351783,,"['Zn', 'Zn']"
Titanium and Titanium Dioxide,10,7.135757250722714,4.370265091595532,0.6124458747742447,,[]
Potash,10,0.7165023521008521,0.2273363974833177,0.3172863240668311,,['K_{2}O']
Cobalt,10,50.56522445472352,17.421910676360955,0.3445433272418411,,['Co']
Quartz Crystal (Industrial),10,328.0,116.69523459755234,0.3557781542608303,,[]
Tin,10,22.24023300921045,6.42280729818661,0.2887922664985886,,['Sn']
Magnesium Metal,10,1.670244144538851,1.9935734119446815,1.193582039166556,,['Mg']
Germanium,10,1032.9,259.1916708195351,0.2509358803558283,,['Ge']
Lime,10,0.1560983047400025,0.0157104564680922,0.1006446322031465,,['CH_{3}Li']
Bauxite and Alumina,10,0.2835144691697525,0.2681111778671272,0.9456701756783964,,[]
Lead,10,2.2182912821042384,0.2218609451589902,0.1000143429985156,,['Pb']
Yttrium,10,19.4,16.91284850178835,0.8717963145251727,,"['Y', 'Y', 'Y']"
Gypsum,10,0.0198416035966389,0.0146425414635507,0.7379716761416932,,['H_{4}CaO_{6}S']
Soda Ash,10,0.157476193878658,0.0090648423931356,0.0575632555617929,,['CNa_{2}O_{3}']
Nickel,10,14.57674431340192,2.844616746363465,0.1951476053365436,,['Ni']
Gold,5,48238.98015156943,8584.989852787396,0.1779678970370622,,"['Au', 'Au']"
Garnet (Industrial),5,0.2888055634621896,0.05664314382394,0.1961289912316934,,[]
Boron,5,0.4274763263764776,0.0130985014386489,0.0306414662764578,,['B']
Diatomite,5,0.3725812230924431,0.0143723810989206,0.0385751621609623,,[]
Bromine,5,2.442,0.2355206997272213,0.0964458229841201,,"['Br_{2}', 'Br']"
Iodine,5,26.392000000000003,5.489423466995417,0.2079957360940973,,"['I_{2}', 'I']"
Asbestos,5,2.032662057344571,0.2471734948835045,0.1216008799841558,,[]
Barite,5,0.1977546491798351,0.0027667794319404,0.0139909703433792,,['BaO_{4}S']
Beryllium,5,616.0,18.165902124584957,0.0294901008515989,,"['Be', 'Be']"
Cement,5,0.1344819799327753,0.0034858144330871,0.0259203086899046,,[]
Bismuth,5,8.421658415462323,2.070174685329388,0.2458155606891521,,['Bi']
Cadmium,5,2.418,0.4341888989829196,0.1795653014817698,,"['Cd', 'Cd']"
Antimony,5,8.152694455596773,2.138449850819157,0.2622997663491638,,['Sb']
Manganese,5,0.0062941975853782,0.001058878891195,0.1682309582487385,,['Mn']
Iron Ore,5,0.0991529024176487,0.0071134447260459,0.0717421734775134,,['Fe_{2}O_{3}']
Pumice and Pumicite,5,0.0357148864739501,0.0044503899477379,0.1246088224579403,,[]
Tungsten,5,0.3044583840773159,0.0329257270201944,0.1081452465826432,,['W']
Tellurium,5,59.2,13.75499909123952,0.2323479576222891,,['Te']
Tantalum,5,176.8,25.50882200337758,0.1442806674399184,,['Ta']
Talc and Pyrophyllite ,5,0.2680821108168111,0.0265403052756257,0.0990006576520937,,[]
Sulfur,5,0.0646174890463876,0.0295341683470946,0.4570615290528029,,"['S_{8}', 'S']"
Stone (Crushed),5,0.0132674189382859,0.0006933879871324,0.0522624626807804,,[]
Silver,5,608.4850295578532,125.00183804334738,0.2054312464090992,,['Ag']
Selenium,5,24.76232128860545,10.243223334232942,0.4136616763367185,,['Se']
Sand and Gravel (Industrial),5,0.0480607731563033,0.0124897271082481,0.2598736201689691,,[]
Iron Oxide Pigments,5,1.03,0.4494441010848847,0.4363534961989171,,[]
Sand and Gravel (Construction),5,0.0102999968892774,0.0004560026210541,0.0442721125021707,,[]
Phosphate Rock,5,0.0800895306065223,0.0035808205853681,0.0447102206524422,,[]
Perlite,5,0.0723116219966398,0.0046506565156131,0.0643140948467347,,[]
Peat,5,0.0281662586167399,0.0013488210196205,0.047887830541289,,[]
Nitrogen (Fixed)--Ammonia,5,0.3291501574420222,0.1325219361698981,0.4026184802698782,,[]
Niobium (Columbium),5,21.0,1.2247448713915894,0.0583211843519804,,[]
Molybdenum,5,25.5,7.076990885962764,0.2775290543514809,,['Mo']
Mercury,5,50.32201914708442,23.884156890882263,0.4746263622902754,,"['Hg', 'Hg', 'Hg']"
Lithium,5,15.366219674285968,4.149144288246196,0.2700172440713852,,"['Li', 'Li']"
Kyanite and Related Minerals,5,0.3952888360974855,0.0113650381013084,0.0287512245817779,,[]
Iron and Steel Slag,5,0.0288805563462189,0.0013273585905768,0.0459602846518789,,[]
Iron and Steel Scrap,5,0.331354780063871,0.0920763217945218,0.2778783567775105,,[]
Aluminum,5,2.3906927711328123,0.436653324573326,0.1826471932511934,,['Al']
Strontium,4,0.0892872161848754,0.0075302198212017,0.0843370433412312,,['Sr']
Thallium,3,8066.666666666667,416.3331998932264,0.0516115537057718,,"['Tl', 'Tl']"
Thorium,3,72.33333333333333,0.5773502691896247,0.0079818009565385,,['Th']
