,Commodity,price,price_units,price_info,Year,price_desc
0,Aluminum,98.3,ctslb,Ingot,2017,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
1,Aluminum,114.7,ctslb,Ingot,2018,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
2,Aluminum,99.5,ctslb,Ingot,2019,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
3,Aluminum,89.7,ctslb,Ingot,2020,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
4,Aluminum,140.0,ctslb,Ingot,2021,"Price: Ingot, average U.S. market (spot), cents per pound. Data are estimated for the most recent year."
5,Antimony,3.77,dlb,Metal,2017,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
6,Antimony,3.81,dlb,Metal,2018,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
7,Antimony,3.04,dlb,Metal,2019,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
8,Antimony,2.67,dlb,Metal,2020,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
9,Antimony,5.2,dlb,Metal,2021,"Price: Metal, average, dollars per pound. Antimony minimum 99.65%, cost, insurance, and freight. Source: Argus Media group—Argus Metals International. Data are estimated for the most recent year."
10,Arsenic,1.56,dkg,Mtl-CN,2017,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
11,Arsenic,1.43,dkg,Mtl-CN,2018,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
12,Arsenic,1.93,dkg,Mtl-CN,2019,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
13,Arsenic,1.51,dkg,Mtl-CN,2020,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
14,Arsenic,1.28,dkg,Mtl-CN,2021,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Arsenic metal (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
15,Arsenic,0.45,dkg,Triox-CN,2017,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
16,Arsenic,0.44,dkg,Triox-CN,2018,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
17,Arsenic,0.46,dkg,Triox-CN,2019,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
18,Arsenic,0.43,dkg,Triox-CN,2020,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
19,Arsenic,0.43,dkg,Triox-CN,2021,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (China). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
20,Arsenic,0.68,dkg,Triox-MA,2017,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (Morocco). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
21,Arsenic,0.75,dkg,Triox-MA,2018,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (Morocco). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
22,Arsenic,0.78,dkg,Triox-MA,2019,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (Morocco). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
23,Arsenic,0.83,dkg,Triox-MA,2020,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (Morocco). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
24,Arsenic,0.84,dkg,Triox-MA,2021,"Price, average unit value of imports (free alongside ship), dollars per kilogram: Trioxide (Morocco). Calculated from U.S. Census Bureau import data. Data are estimated for the most recent year."
25,Asbestos,1870,dt,Customs,2017,"Price: Average U.S. customs unit value, dollars per ton. Data are estimated for the most recent year."
26,Asbestos,1670,dt,Customs,2018,"Price: Average U.S. customs unit value, dollars per ton. Data are estimated for the most recent year."
27,Asbestos,1570,dt,Customs,2019,"Price: Average U.S. customs unit value, dollars per ton. Data are estimated for the most recent year."
28,Asbestos,2110,dt,Customs,2020,"Price: Average U.S. customs unit value, dollars per ton. Data are estimated for the most recent year."
29,Asbestos,2000,dt,Customs,2021,"Price: Average U.S. customs unit value, dollars per ton. Data are estimated for the most recent year."
30,Barite,179,dt,,2017,"Price: Average value, ground, ex-works, dollars per ton. Data are estimated for the most recent year."
31,Barite,176,dt,,2018,"Price: Average value, ground, ex-works, dollars per ton. Data are estimated for the most recent year."
32,Barite,179,dt,,2019,"Price: Average value, ground, ex-works, dollars per ton. Data are estimated for the most recent year."
33,Barite,183,dt,,2020,"Price: Average value, ground, ex-works, dollars per ton. Data are estimated for the most recent year."
34,Barite,180,dt,,2021,"Price: Average value, ground, ex-works, dollars per ton. Data are estimated for the most recent year."
35,Bauxite and Alumina,31,dt,Bauxite,2017,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
36,Bauxite and Alumina,31,dt,Bauxite,2018,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
37,Bauxite and Alumina,32,dt,Bauxite,2019,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
38,Bauxite and Alumina,26,dt,Bauxite,2020,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
39,Bauxite and Alumina,32,dt,Bauxite,2021,"Bauxite: Price, average value of imports, free alongside ship (f.a.s.), dollars per ton. Data are estimated for the most recent year."
40,Bauxite and Alumina,486,dt,Alumina,2017,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
41,Bauxite and Alumina,592,dt,Alumina,2018,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
42,Bauxite and Alumina,480,dt,Alumina,2019,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
43,Bauxite and Alumina,412,dt,Alumina,2020,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
44,Bauxite and Alumina,450,dt,Alumina,2021,"Alumina: Price, average value of imports, f.a.s., dollars per ton. Data are estimated for the most recent year."
45,Beryllium,640,dkg,Alloy,2017,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
46,Beryllium,590,dkg,Alloy,2018,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
47,Beryllium,620,dkg,Alloy,2019,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
48,Beryllium,620,dkg,Alloy,2020,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
49,Beryllium,610,dkg,Alloy,2021,"Price: Annual average unit value, beryllium-copper master alloy, dollars per kilogram of contained beryllium. Calculated from gross weight and customs value of imports; beryllium content estimated to be 4%. Rounded to two significant figures. Data are estimated for the most recent year."
50,Bismuth,4.94,dlb,,2017,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
51,Bismuth,4.61,dlb,,2018,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
52,Bismuth,3.18,dlb,,2019,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
53,Bismuth,2.72,dlb,,2020,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
54,Bismuth,3.65,dlb,,2021,"Price: Average, dollars per pound. Prices are based on 99.99%-purity metal at warehouse (Rotterdam) in minimum lots of 1 ton; source: Fastmarkets AMM. Data are estimated for the most recent year."
55,Boron,392,dt,CIF,2017,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
56,Boron,404,dt,CIF,2018,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
57,Boron,373,dt,CIF,2019,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
58,Boron,380,dt,CIF,2020,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
59,Boron,390,dt,CIF,2021,"Price: Average value of imports, cost, insurance, and freight, dollars per ton. Data are estimated for the most recent year."
60,Bromine,2.3,dkg,Imports,2017,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
61,Bromine,2.21,dkg,Imports,2018,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
62,Bromine,2.31,dkg,Imports,2019,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
63,Bromine,2.73,dkg,Imports,2020,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
64,Bromine,2.66,dkg,Imports,2021,"Price: Average unit value of imports (cost, insurance, and freight), dollars per kilogram. Data are estimated for the most recent year."
65,Cadmium,1.75,dkg,Metal,2017,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
66,Cadmium,2.89,dkg,Metal,2018,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
67,Cadmium,2.67,dkg,Metal,2019,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
68,Cadmium,2.29,dkg,Metal,2020,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
69,Cadmium,2.49,dkg,Metal,2021,"Price: Metal, annual average, dollars per kilogram. Average free market price for 99.95% purity in 10-ton lots; cost, insurance, and freight; global ports. Source: Fastmarkets MB. Data are estimated for the most recent year."
70,Cement,117,dt,Avg,2017,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
71,Cement,121,dt,Avg,2018,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
72,Cement,123,dt,Avg,2019,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
73,Cement,124,dt,Avg,2020,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
74,Cement,125,dt,Avg,2021,"Price: Average mill value, dollars per ton. Data are estimated for 2020 and the most recent year."
75,Chromium,259,dt,Ore,2017,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
76,Chromium,279,dt,Ore,2018,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
77,Chromium,248,dt,Ore,2019,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
78,Chromium,179,dt,Ore,2020,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
79,Chromium,210,dt,Ore,2021,"Price, average annual unit value of imports, dollars per ton: Chromite ore (gross weight). Data are estimated for the most recent year."
80,Chromium,2547,dt,Ferrrochromium,2017,"Price, average annual unit value of imports, dollars per ton: Ferrochromium (chromium content). Excludes ferrochromium silicon. Data are estimated for the most recent year."
