Material,Tensile strength  (MPa),Density  (g/cm3),Specific strength (kN·m/kg),Breaking length (km),Source
Concrete,2–5,2.30,5.22,0.44,
Polyoxymethylene; POM,69,1.42,,4.95,[1]
Rubber,15,0.92,16.3,1.66,
Copper,220,8.92,24.7,2.51,
Polypropylene; PP,25–40,0.90,28–44,2.8–4.5,[2]
(Poly)acrylonitrile-butadiene-styrene; ABS,41–45,1.05,39–43,,[3]
Polyethylene terephthalate; polyester; PET,80,1.3–1.4,57–62,,[4]
Piano wire; ASTM 228 Steel,1590–3340,7.8,204–428,,[5]
Polylactic acid; polylactide; PLA,53,1.24,43,,[6]
Low carbon steel (AISI 1010),365,7.87,46.4,4.73,[7]
Stainless steel (304),505,8.00,63.1,6.4,[8]
Maraging steel (C350),2358,8.08,291.74,29.7,[9]
Brass,580,8.55,67.8,6.91,[10]
Nylon,78,1.13,69.0,7.04,[11]
Titanium,344,4.51,76,7.75,[12]
CrMo Steel (4130),560–670,7.85,71–85,7.27–8.70,[13][14]
Aluminium alloy (6061-T6),310,2.70,115,11.70,[15]
Oak,90,0.78–0.69,115–130,12–13,[16]
Inconel (X-750),1250,8.28,151,15.4,[17]
Magnesium alloy,275,1.74,158,16.1,[18]
Aluminium alloy (7075-T6),572,2.81,204,20.8,[19]
Pine wood (American eastern white),78,0.35,223,22.7,[20]
Titanium alloy (Beta C),1250,4.81,260,26.5,[21]
Bainite,2500,7.87,321,32.4,[22]
Balsa,73,0.14,521,53.2,[23]
Carbon–epoxy composite,1240,1.58,785,80.0,[24]
Spider silk,1400,1.31,1069,109,
Silicon carbide fiber,3440,3.16,1088,110,[25]
Miralon carbon nanotube yarn C-series,1375,0.7–0.9,1100,112,[26]
Glass fiber,3400,2.60,1307,133,[27]
Basalt fiber,4840,2.70,1790,183,[28]
1 μm iron whiskers,14000,7.87,1800,183,[22]
Vectran,2900,1.40,2071,211,[27]
Carbon fiber (AS4),4300,1.75,2457,250,[27]
Kevlar,3620,1.44,2514,256,[29]
Dyneema (UHMWPE),3600,0.97,3711,378,[30]
Zylon,5800,1.54,3766,384,[31]
Carbon fiber (Toray T1100G),7000,1.79,3911,399,[32]
Carbon nanotube (see note below),62000,0.037–1.34,46268–N/A,4716–N/A,[33][34]
Colossal carbon tube,6900,0.116,59483,6066,[35]
Graphene,130500,2.090,62453,6366,[36]
Fundamental limit,,,9×1013,9.2×1012,[37]
