Z,Symbol,Name,Density (kg/L),Abundance and total mass in Earth's crust[b] (mg/kg),USD/kg,USD/L,Year,Source,Notes
1,H,Hydrogen,0.00008988,1400 (3.878×1019 kg),1.39,0.000125,2012,DOE Hydrogen[6],"Prices of hydrogen produced by distributed steam methane reforming, as predicted by H2A Production Model from United States Department of Energy,[7] assuming price of natural gas of 3 USD/MMBtu (10 USD/MWh; 0.10 USD/m3). Does not include cost of storage and distribution."
1,2H (D),Deuterium,0.0001667[8],,13400,2.23,2020,CIL[9],"99.8% pure compressed deuterium gas, in lot size of 850 L (142 g). Also sold by same supplier in the form of heavy water at price of 3940 USD per kg deuterium.[10] In 2016 Iran sold 32 tons of heavy water to United States for 1336 USD per kg deuterium.[11]"
2,He,Helium,0.0001785,0.008 (2.216×1014 kg),24,0.00429,2018,USGS MCS[12],"Crude helium sold to non-government users in United States in 2018. In the same year, stockpiles of US government helium were sold on auctions for average price of 0.00989 USD/L.[13]"
3,Li,Lithium,0.534,20 (5.54×1017 kg),81.4–85.6,43.4–45.7,2020,SMM[14][d],.mw-parser-output .hatnote{font-style:italic}.mw-parser-output div.hatnote{padding-left:1.6em;margin-bottom:0.5em}.mw-parser-output .hatnote i{font-style:normal}.mw-parser-output .hatnote+link+.hatnote{margin-top:-0.5em}See also: Lithium as an investment Min. 99% pure.
4,Be,Beryllium,1.85,2.8 (7.756×1016 kg),857,1590,2020,ISE 2020[15][e],Min. 99% pure.
5,B,Boron,2.34,10 (2.77×1017 kg),3.68,8.62,2019,CEIC Data[16][f],"In the form of boric acid, price per boron contained. Min. 99% pure."
6,C,Carbon,2.267,200 (5.54×1018 kg),0.122,0.28,2018,EIA Coal[17],"See also: Diamonds as an investment In the form of anthracite, price per carbon contained, assuming 90% carbon content. There is a wide variation of price of carbon depending on its form. Lower ranks of coal can be less expensive, for example sub-bituminous coal can cost around 0.038 USD/kg carbon.[17] Graphite flakes can cost around 0.9 USD/kg carbon.[18] Price of synthetic industrial diamond for grinding and polishing can range from 1200 to 13300 USD/kg, while cost per weight of large synthetic diamonds for industrial applications can be on the order of million dollars per kilogram.[19]"
7,N,Nitrogen,0.0012506,19 (5.263×1017 kg),0.14,0.000175,2001,Hypertextbook[22],As liquid nitrogen.
8,O,Oxygen,0.001429,461000 (1.277×1022 kg),0.154,0.00022,2001,Hypertextbook[22],As liquid oxygen.
9,F,Fluorine,0.001696,585 (1.62×1019 kg),1.84–2.16,0.00311 – 0.00365,2017,Echemi[23],"In the form of anhydrous hydrofluoric acid, price per fluorine contained. Range of prices on Chinese market, week of 1–7 December 2017."
10,Ne,Neon,0.0008999,0.005 (1.385×1014 kg),240,0.21,1999,Ullmann[24],Approximate European price for buying small quantities.
11,Na,Sodium,0.971,23600 (6.537×1020 kg),2.57–3.43,2.49–3.33,2020,SMM[25][d],Min 99.7% pure industrial grade sodium.
12,Mg,Magnesium,1.738,23300 (6.454×1020 kg),2.32,4.03,2019,Preismonitor[18][g],Min 99.9% pure.
13,Al,Aluminium,2.698,82300 (2.28×1021 kg),1.79,4.84,2019,Preismonitor[18][g],"High-grade primary aluminium, at London Metal Exchange warehouse."
14,Si,Silicon,2.3296,282000 (7.811×1021 kg),1.7,3.97,2019,Preismonitor[18][g],"Min. 99.1% pure, max. 0.4% iron, 0.4% aluminium, 0.1% calcium.[26] 10–100 mm."
15,P,Phosphorus,1.82,1050 (2.909×1019 kg),2.69,4.9,2019,CEIC Data[16][f],Min. 99.9% pure yellow phosphorus.
16,S,Sulfur,2.067,350 (9.695×1018 kg),0.0926,0.191,2019,CEIC Data[16][f],
